applicant_id,gender,age,income,business_or_commercial,occupancy_type,construction_type,total_units,region
24967,Joint,35-44,12600.0,nob/c,ir,sb,1U,North
24968,Male,35-44,5040.0,nob/c,pr,sb,1U,North
24969,Sex Not Available,35-44,7860.0,nob/c,pr,sb,1U,south
24970,Male,55-64,5700.0,nob/c,pr,sb,1U,North
24971,Female,55-64,2580.0,b/c,pr,sb,1U,central
24972,Sex Not Available,45-54,15180.0,nob/c,pr,sb,1U,south
24973,Male,55-64,8700.0,nob/c,pr,sb,1U,North
24974,Sex Not Available,25-34,5400.0,nob/c,pr,sb,1U,south
24975,Joint,25-34,8160.0,b/c,pr,sb,1U,North
24976,Sex Not Available,45-54,9180.0,nob/c,ir,sb,2U,south
24977,Sex Not Available,35-44,,nob/c,pr,sb,1U,south
24978,Joint,65-74,5640.0,nob/c,pr,sb,1U,south
24979,Joint,65-74,7980.0,nob/c,pr,sb,1U,North
24980,Sex Not Available,65-74,9840.0,nob/c,sr,sb,1U,south
24981,Joint,>74,11460.0,nob/c,pr,sb,1U,North
24982,Male,55-64,3660.0,nob/c,pr,sb,1U,North
24983,Male,35-44,7140.0,nob/c,pr,sb,1U,south
24984,Female,55-64,7440.0,nob/c,pr,sb,1U,North
24985,Female,35-44,2940.0,b/c,pr,sb,1U,North
24986,Male,65-74,,nob/c,pr,sb,1U,south
24987,Sex Not Available,55-64,3000.0,nob/c,pr,sb,1U,south
24988,Sex Not Available,45-54,14640.0,nob/c,pr,sb,1U,south
24989,Female,25-34,3840.0,nob/c,pr,sb,1U,North
24990,Male,55-64,2880.0,nob/c,pr,sb,1U,North
24991,Joint,65-74,5700.0,nob/c,pr,sb,1U,North
24992,Male,45-54,7680.0,b/c,pr,sb,1U,North
24993,Male,35-44,,b/c,pr,sb,1U,North
24994,Male,55-64,6840.0,nob/c,pr,sb,1U,south
24995,Joint,55-64,10260.0,nob/c,pr,sb,1U,North
24996,Male,<25,3120.0,nob/c,pr,sb,1U,North
24997,Joint,55-64,17340.0,nob/c,ir,sb,1U,North
24998,Joint,35-44,12180.0,nob/c,pr,sb,1U,south
24999,Joint,45-54,5520.0,nob/c,pr,sb,1U,south
25000,Joint,25-34,6060.0,b/c,pr,sb,1U,south
25001,Sex Not Available,45-54,5220.0,nob/c,pr,sb,1U,south
25002,Sex Not Available,45-54,2640.0,nob/c,pr,sb,1U,south
25003,Female,55-64,4920.0,nob/c,pr,sb,1U,North
25004,Sex Not Available,>74,4800.0,nob/c,pr,sb,1U,south
25005,Sex Not Available,45-54,4200.0,b/c,pr,sb,1U,south
25006,Male,45-54,,nob/c,pr,sb,1U,central
25007,Joint,45-54,8160.0,nob/c,pr,sb,1U,North
25008,Female,55-64,4440.0,b/c,pr,sb,1U,North
25009,Male,55-64,11400.0,nob/c,pr,sb,1U,North
25010,Female,25-34,3240.0,nob/c,pr,sb,1U,North
25011,Sex Not Available,65-74,3300.0,nob/c,pr,sb,1U,south
25012,Joint,45-54,3840.0,nob/c,pr,sb,1U,North
25013,Male,65-74,,nob/c,pr,sb,1U,North
25014,Female,35-44,6600.0,nob/c,pr,sb,1U,south
25015,Joint,35-44,,nob/c,pr,sb,1U,central
25016,Male,35-44,8400.0,nob/c,pr,sb,1U,south
25017,Sex Not Available,25-34,5820.0,nob/c,pr,sb,1U,south
25018,Joint,55-64,6540.0,nob/c,pr,sb,1U,central
25019,Sex Not Available,45-54,15240.0,nob/c,pr,sb,1U,North
25020,Male,45-54,5280.0,nob/c,pr,sb,1U,North
25021,Joint,35-44,8280.0,nob/c,pr,sb,1U,south
25022,Female,65-74,16740.0,nob/c,pr,sb,1U,North
25023,Female,65-74,2220.0,b/c,pr,sb,1U,North
25024,Male,55-64,3780.0,b/c,pr,sb,1U,North
25025,Female,55-64,5580.0,nob/c,pr,sb,1U,North
25026,Joint,45-54,11760.0,nob/c,pr,sb,1U,North
25027,Male,55-64,54300.0,nob/c,pr,sb,1U,North
25028,Sex Not Available,35-44,4680.0,nob/c,pr,sb,1U,south
25029,Joint,65-74,4140.0,nob/c,pr,sb,1U,North
25030,Joint,45-54,8580.0,nob/c,pr,sb,1U,North
25031,Joint,35-44,10020.0,nob/c,pr,sb,1U,south
25032,Female,45-54,9000.0,nob/c,pr,sb,1U,North
25033,Sex Not Available,45-54,0.0,nob/c,pr,sb,1U,south
25034,Joint,45-54,25680.0,nob/c,ir,sb,2U,south
25035,Female,55-64,8580.0,nob/c,pr,sb,1U,North
25036,Joint,35-44,7080.0,nob/c,pr,sb,1U,North
25037,Male,65-74,,nob/c,pr,sb,1U,North
25038,Joint,65-74,4920.0,nob/c,pr,sb,1U,central
25039,Male,35-44,8640.0,b/c,pr,sb,1U,North
25040,Male,45-54,3960.0,nob/c,pr,sb,1U,south
25041,Male,25-34,3600.0,nob/c,pr,sb,1U,North
25042,Female,>74,6180.0,nob/c,pr,sb,1U,south
25043,Male,55-64,10080.0,nob/c,pr,sb,1U,south
25044,Male,35-44,,b/c,pr,sb,1U,North
25045,Sex Not Available,55-64,2520.0,b/c,pr,sb,1U,North
25046,Joint,55-64,10200.0,nob/c,pr,sb,1U,North
25047,Male,>74,2520.0,nob/c,pr,sb,1U,North
25048,Male,65-74,7980.0,nob/c,ir,sb,1U,North
25049,Joint,45-54,11640.0,b/c,pr,sb,1U,North
25050,Sex Not Available,65-74,13560.0,nob/c,pr,sb,1U,south
25051,Male,65-74,,nob/c,pr,sb,1U,North
25052,Joint,65-74,4800.0,nob/c,pr,sb,1U,North
25053,Joint,55-64,26100.0,nob/c,ir,sb,1U,North
25054,Male,35-44,9000.0,nob/c,pr,sb,1U,south
25055,Female,>74,14220.0,nob/c,pr,sb,1U,south
25056,Female,45-54,10800.0,nob/c,pr,sb,1U,central
25057,Male,45-54,19620.0,nob/c,pr,sb,1U,North
25058,Male,45-54,2640.0,b/c,pr,sb,1U,south
25059,Male,45-54,11880.0,nob/c,sr,sb,1U,North
25060,Joint,65-74,6660.0,nob/c,pr,sb,1U,North
25061,Female,45-54,3240.0,b/c,pr,sb,1U,central
25062,Sex Not Available,25-34,3360.0,nob/c,pr,sb,1U,south
25063,Female,35-44,840.0,b/c,pr,sb,1U,central
25064,Sex Not Available,55-64,7020.0,nob/c,pr,sb,1U,south
25065,Female,35-44,,b/c,pr,sb,1U,south
25066,Sex Not Available,45-54,1500.0,b/c,pr,sb,1U,south
25067,Joint,45-54,9180.0,nob/c,pr,sb,1U,North
25068,Female,45-54,3960.0,b/c,pr,sb,1U,south
25069,Female,65-74,4440.0,nob/c,pr,sb,1U,North
25070,Joint,25-34,6480.0,nob/c,pr,sb,1U,south
25071,Male,<25,4140.0,nob/c,ir,sb,1U,North
25072,Sex Not Available,45-54,1860.0,b/c,pr,sb,1U,south
25073,Sex Not Available,45-54,8280.0,b/c,pr,sb,1U,south
25074,Male,25-34,9900.0,nob/c,pr,sb,1U,south
25075,Sex Not Available,55-64,78120.0,nob/c,sr,sb,1U,south
25076,Male,55-64,3180.0,b/c,pr,sb,1U,North
25077,Male,25-34,3540.0,nob/c,pr,sb,1U,North
25078,Male,25-34,3120.0,b/c,pr,sb,1U,North
25079,Sex Not Available,35-44,6960.0,nob/c,pr,sb,1U,south
25080,Joint,25-34,3180.0,b/c,pr,sb,1U,North
25081,Sex Not Available,25-34,,nob/c,pr,sb,1U,south
25082,Female,55-64,1980.0,nob/c,pr,sb,1U,North
25083,Male,25-34,18420.0,nob/c,ir,sb,1U,south
25084,Sex Not Available,>74,2940.0,nob/c,pr,sb,1U,south
25085,Joint,45-54,6840.0,b/c,pr,sb,1U,North
25086,Sex Not Available,55-64,1740.0,nob/c,pr,sb,1U,south
25087,Sex Not Available,25-34,,b/c,pr,sb,1U,south
25088,Male,25-34,8280.0,nob/c,sr,sb,1U,North
25089,Joint,45-54,13140.0,nob/c,pr,sb,1U,North
25090,Joint,25-34,2220.0,nob/c,pr,sb,1U,North
25091,Sex Not Available,45-54,18240.0,nob/c,ir,sb,1U,south
25092,Male,35-44,8760.0,nob/c,pr,sb,1U,North
25093,Joint,45-54,15840.0,nob/c,pr,sb,1U,North
25094,Sex Not Available,65-74,5880.0,nob/c,pr,sb,1U,south
25095,Sex Not Available,55-64,1260.0,b/c,pr,sb,1U,south
25096,Joint,55-64,,nob/c,pr,sb,1U,North
25097,Joint,55-64,2100.0,nob/c,pr,sb,1U,North
25098,Male,45-54,0.0,nob/c,pr,sb,1U,North
25099,Joint,55-64,18000.0,nob/c,pr,sb,1U,North
25100,Male,35-44,4320.0,nob/c,pr,sb,1U,central
25101,Male,45-54,1680.0,nob/c,pr,sb,1U,central
25102,Joint,35-44,,b/c,pr,sb,1U,North
25103,Joint,25-34,4560.0,nob/c,pr,sb,1U,North
25104,Male,<25,2460.0,nob/c,pr,sb,1U,North
25105,Joint,55-64,9060.0,nob/c,pr,sb,1U,North
25106,Female,35-44,8220.0,b/c,pr,sb,1U,North
25107,Joint,55-64,7380.0,nob/c,pr,sb,1U,North
25108,Male,55-64,7440.0,nob/c,pr,sb,1U,south
25109,Joint,25-34,10800.0,nob/c,ir,sb,1U,south
25110,Male,45-54,7560.0,nob/c,pr,sb,1U,North
25111,Joint,>74,7500.0,nob/c,pr,sb,1U,North
25112,Sex Not Available,55-64,1380.0,nob/c,pr,sb,1U,south
25113,Female,>74,4020.0,nob/c,pr,sb,1U,south
25114,Male,55-64,2220.0,nob/c,pr,sb,1U,south
25115,Joint,45-54,10440.0,nob/c,pr,sb,1U,south
25116,Sex Not Available,25-34,4800.0,nob/c,pr,sb,1U,south
25117,Sex Not Available,45-54,12240.0,nob/c,pr,sb,1U,south
25118,Male,25-34,7620.0,b/c,pr,sb,1U,North
25119,Joint,35-44,9660.0,nob/c,pr,sb,1U,south
25120,Joint,45-54,6480.0,nob/c,pr,sb,1U,North
25121,Sex Not Available,55-64,4260.0,b/c,pr,sb,1U,south
25122,Sex Not Available,55-64,5280.0,nob/c,pr,sb,1U,south
25123,Male,35-44,10740.0,nob/c,pr,sb,1U,North
25124,Female,35-44,,b/c,pr,sb,1U,central
25125,Joint,25-34,8160.0,nob/c,pr,sb,1U,North
25126,Joint,25-34,9960.0,nob/c,pr,sb,1U,North
25127,Male,35-44,13500.0,nob/c,pr,sb,1U,North
25128,Female,65-74,5400.0,nob/c,pr,sb,1U,North
25129,Joint,45-54,7320.0,nob/c,pr,sb,1U,North
25130,Joint,65-74,8220.0,nob/c,pr,sb,1U,North
25131,Male,>74,5640.0,nob/c,pr,sb,1U,North
25132,Female,45-54,3600.0,nob/c,pr,sb,1U,North
25133,Male,35-44,6600.0,nob/c,pr,sb,1U,North
25134,Male,55-64,16080.0,nob/c,pr,sb,1U,south
25135,Male,35-44,5100.0,nob/c,pr,sb,1U,North
25136,Sex Not Available,45-54,2700.0,nob/c,pr,sb,1U,south
25137,Joint,65-74,2280.0,nob/c,pr,sb,1U,North
25138,Joint,45-54,5340.0,nob/c,pr,sb,1U,North
25139,Sex Not Available,65-74,4680.0,nob/c,pr,sb,1U,south
25140,Female,65-74,2460.0,nob/c,pr,sb,1U,North
25141,Male,35-44,7320.0,nob/c,pr,sb,1U,North
25142,Joint,25-34,6720.0,nob/c,pr,sb,1U,North
25143,Female,55-64,2760.0,nob/c,pr,sb,1U,North
25144,Sex Not Available,35-44,9660.0,nob/c,pr,sb,1U,south
25145,Female,25-34,5040.0,nob/c,pr,sb,1U,North
25146,Male,25-34,5580.0,nob/c,pr,sb,3U,south
25147,Female,45-54,4620.0,nob/c,pr,sb,1U,North
25148,Female,55-64,5460.0,b/c,pr,sb,1U,south
25149,Male,35-44,6600.0,nob/c,pr,sb,1U,North
25150,Joint,45-54,2220.0,nob/c,ir,sb,1U,North
25151,Female,>74,2580.0,nob/c,pr,sb,1U,North
25152,Joint,65-74,5100.0,nob/c,pr,sb,1U,North
25153,Female,55-64,8100.0,nob/c,pr,sb,1U,North
25154,Male,45-54,16260.0,nob/c,ir,sb,4U,south
25155,Joint,35-44,8880.0,nob/c,pr,sb,1U,North
25156,Sex Not Available,,,b/c,pr,sb,1U,south
25157,Female,25-34,5100.0,nob/c,pr,sb,1U,North
25158,Female,55-64,2580.0,nob/c,pr,sb,1U,North
25159,Sex Not Available,35-44,8100.0,nob/c,pr,sb,1U,south
25160,Joint,45-54,12120.0,nob/c,pr,sb,1U,North
25161,Male,25-34,3660.0,nob/c,pr,sb,1U,south
25162,Male,25-34,4260.0,b/c,pr,sb,1U,North
25163,Male,35-44,5580.0,nob/c,pr,sb,1U,North
25164,Male,45-54,3000.0,b/c,pr,sb,1U,North
25165,Joint,65-74,5220.0,nob/c,pr,sb,1U,south
25166,Male,<25,1860.0,nob/c,sr,sb,1U,south
25167,Sex Not Available,45-54,9180.0,nob/c,pr,sb,1U,south
25168,Joint,45-54,8100.0,nob/c,pr,sb,1U,North
25169,Female,35-44,6840.0,nob/c,pr,sb,1U,North
25170,Joint,55-64,9000.0,nob/c,pr,sb,1U,North
25171,Joint,25-34,9360.0,nob/c,pr,sb,1U,south
25172,Joint,55-64,4560.0,nob/c,pr,sb,1U,North
25173,Joint,35-44,4620.0,nob/c,pr,sb,1U,south
25174,Female,55-64,4260.0,nob/c,pr,sb,1U,south
25175,Sex Not Available,65-74,4680.0,nob/c,pr,sb,1U,south
25176,Female,25-34,6960.0,nob/c,pr,sb,1U,south
25177,Male,25-34,3660.0,nob/c,pr,sb,1U,North
25178,Male,35-44,4440.0,nob/c,pr,sb,1U,North
25179,Joint,35-44,9120.0,nob/c,pr,sb,1U,North
25180,Joint,25-34,4920.0,b/c,pr,sb,1U,North
25181,Male,45-54,12060.0,nob/c,pr,sb,1U,North
25182,Joint,55-64,9180.0,nob/c,pr,sb,1U,North
25183,Sex Not Available,35-44,4860.0,nob/c,pr,sb,1U,south
25184,Sex Not Available,35-44,2640.0,nob/c,pr,sb,1U,south
25185,Joint,25-34,27000.0,nob/c,pr,sb,1U,North
25186,Sex Not Available,55-64,7920.0,nob/c,pr,sb,1U,south
25187,Male,55-64,3840.0,nob/c,pr,sb,1U,North
25188,Male,25-34,3840.0,nob/c,pr,sb,1U,North
25189,Sex Not Available,45-54,5880.0,nob/c,pr,sb,1U,south
25190,Female,55-64,3180.0,nob/c,pr,sb,1U,North
25191,Female,45-54,0.0,b/c,pr,sb,1U,North
25192,Sex Not Available,65-74,4140.0,nob/c,pr,sb,1U,south
25193,Male,35-44,3480.0,nob/c,pr,sb,1U,south
25194,Male,35-44,3660.0,nob/c,pr,sb,1U,North
25195,Male,45-54,4320.0,nob/c,pr,sb,1U,south
25196,Female,45-54,,nob/c,pr,sb,1U,central
25197,Joint,65-74,2100.0,b/c,pr,sb,1U,south
25198,Male,55-64,1140.0,nob/c,pr,sb,1U,south
25199,Male,45-54,7200.0,nob/c,pr,sb,1U,south
25200,Sex Not Available,55-64,5460.0,b/c,pr,sb,1U,south
25201,Female,65-74,3420.0,b/c,pr,sb,1U,North
25202,Sex Not Available,55-64,6360.0,nob/c,pr,sb,1U,south
25203,Sex Not Available,55-64,5040.0,nob/c,pr,sb,1U,south
25204,Joint,25-34,7860.0,nob/c,pr,sb,1U,North
25205,Male,65-74,6060.0,nob/c,pr,sb,1U,south
25206,Male,25-34,4800.0,nob/c,pr,sb,1U,North
25207,Male,35-44,4440.0,nob/c,pr,sb,1U,North
25208,Joint,65-74,7380.0,nob/c,pr,sb,1U,North
25209,Female,35-44,7200.0,nob/c,pr,sb,1U,central
25210,Male,35-44,5100.0,nob/c,pr,sb,1U,North
25211,Joint,35-44,8340.0,nob/c,pr,sb,1U,North
25212,Female,45-54,4980.0,nob/c,pr,sb,1U,North
25213,Joint,65-74,4080.0,nob/c,pr,sb,1U,North
25214,Male,35-44,9660.0,nob/c,pr,sb,1U,south
25215,Male,25-34,17640.0,nob/c,pr,sb,1U,central
25216,Joint,55-64,6720.0,b/c,pr,sb,1U,central
25217,Male,35-44,5040.0,nob/c,pr,sb,1U,North
25218,Female,55-64,3240.0,nob/c,pr,sb,1U,North
25219,Sex Not Available,65-74,5280.0,nob/c,pr,sb,1U,south
25220,Sex Not Available,35-44,23760.0,nob/c,pr,sb,1U,south
25221,Male,55-64,4620.0,nob/c,pr,sb,1U,south
25222,Sex Not Available,65-74,1620.0,nob/c,pr,sb,1U,south
25223,Sex Not Available,45-54,24060.0,nob/c,pr,sb,1U,south
25224,Female,35-44,,nob/c,pr,sb,1U,North
25225,Male,35-44,12060.0,nob/c,pr,sb,1U,south
25226,Male,55-64,3840.0,nob/c,pr,sb,1U,North
25227,Male,35-44,7200.0,nob/c,pr,sb,1U,North
25228,Joint,35-44,5760.0,nob/c,pr,sb,1U,central
25229,Sex Not Available,35-44,3540.0,nob/c,pr,sb,1U,south
25230,Male,55-64,7440.0,b/c,pr,sb,1U,south
25231,Sex Not Available,45-54,8040.0,nob/c,pr,sb,1U,south
25232,Joint,45-54,5460.0,nob/c,pr,sb,1U,North
25233,Joint,55-64,71220.0,nob/c,ir,sb,1U,North
25234,Joint,65-74,3060.0,nob/c,pr,sb,1U,North
25235,Sex Not Available,45-54,7140.0,nob/c,pr,sb,1U,south
25236,Sex Not Available,45-54,9300.0,nob/c,pr,sb,1U,south
25237,Joint,55-64,2520.0,b/c,pr,sb,1U,North
25238,Female,55-64,5160.0,nob/c,pr,sb,1U,North
25239,Male,55-64,5820.0,nob/c,pr,sb,1U,North
25240,Female,45-54,8700.0,nob/c,pr,sb,1U,south
25241,Male,25-34,,b/c,pr,sb,1U,North
25242,Joint,65-74,3120.0,nob/c,pr,sb,1U,North
25243,Sex Not Available,25-34,2640.0,b/c,pr,sb,1U,south
25244,Male,25-34,6720.0,nob/c,pr,sb,1U,North
25245,Male,55-64,8820.0,nob/c,pr,sb,1U,North
25246,Joint,65-74,8880.0,nob/c,pr,sb,1U,south
25247,Female,55-64,3060.0,nob/c,pr,sb,1U,North
25248,Male,45-54,1620.0,b/c,pr,sb,1U,North
25249,Sex Not Available,65-74,6000.0,nob/c,pr,sb,1U,south
25250,Joint,>74,2520.0,nob/c,pr,sb,1U,North
25251,Male,25-34,5100.0,nob/c,pr,sb,1U,North
25252,Sex Not Available,35-44,,nob/c,pr,sb,1U,south
25253,Female,35-44,1860.0,b/c,pr,sb,1U,south
25254,Male,45-54,4320.0,nob/c,pr,sb,1U,North
25255,Male,45-54,11400.0,nob/c,pr,sb,1U,south
25256,Sex Not Available,35-44,7200.0,nob/c,pr,sb,1U,south
25257,Male,55-64,4380.0,b/c,pr,sb,1U,North
25258,Male,25-34,,nob/c,pr,sb,1U,south
25259,Joint,55-64,12000.0,nob/c,pr,sb,1U,central
25260,Male,45-54,,nob/c,pr,sb,1U,North
25261,Male,>74,,nob/c,pr,sb,1U,North
25262,Male,55-64,3360.0,nob/c,pr,sb,1U,North
25263,Sex Not Available,45-54,10860.0,nob/c,pr,sb,1U,south
25264,Joint,35-44,8100.0,nob/c,pr,sb,1U,North
25265,Joint,35-44,6780.0,nob/c,pr,sb,1U,south
25266,Male,35-44,8760.0,nob/c,pr,sb,1U,central
25267,Male,25-34,4680.0,nob/c,pr,sb,1U,south
25268,Sex Not Available,55-64,3720.0,nob/c,pr,sb,1U,south
25269,Joint,55-64,4320.0,nob/c,pr,sb,1U,central
25270,Sex Not Available,55-64,12540.0,nob/c,pr,sb,1U,south
25271,Sex Not Available,35-44,5400.0,nob/c,pr,sb,1U,south
25272,Female,35-44,9360.0,nob/c,ir,sb,1U,central
25273,Joint,45-54,8280.0,nob/c,pr,sb,1U,North
25274,Sex Not Available,45-54,5400.0,nob/c,pr,sb,1U,south
25275,Joint,35-44,8460.0,b/c,pr,sb,1U,south
25276,Female,65-74,2580.0,nob/c,pr,sb,1U,North
25277,Female,55-64,6300.0,nob/c,pr,sb,1U,North
25278,Joint,35-44,12420.0,nob/c,pr,sb,1U,south
25279,Sex Not Available,55-64,1680.0,nob/c,pr,sb,1U,south
25280,Male,35-44,5280.0,nob/c,pr,sb,1U,south
25281,Male,55-64,5940.0,nob/c,pr,sb,1U,North
25282,Sex Not Available,45-54,30180.0,nob/c,pr,sb,1U,south
25283,Joint,45-54,10200.0,nob/c,ir,sb,1U,south
25284,Sex Not Available,65-74,7440.0,nob/c,pr,sb,1U,south
25285,Joint,35-44,8640.0,nob/c,pr,sb,1U,south
25286,Sex Not Available,>74,1980.0,nob/c,pr,sb,1U,south
25287,Female,45-54,6180.0,nob/c,pr,sb,1U,North
25288,Female,55-64,3420.0,nob/c,pr,sb,1U,south
25289,Sex Not Available,25-34,2520.0,nob/c,pr,sb,1U,south
25290,Sex Not Available,65-74,7200.0,nob/c,sr,sb,1U,south
25291,Male,35-44,11160.0,b/c,pr,sb,1U,North
25292,Male,35-44,3780.0,b/c,pr,sb,1U,central
25293,Male,25-34,4260.0,nob/c,pr,sb,1U,North
25294,Female,35-44,3480.0,b/c,pr,sb,1U,North
25295,Female,65-74,1320.0,nob/c,pr,sb,1U,central
25296,Joint,55-64,14640.0,nob/c,pr,sb,1U,North
25297,Sex Not Available,45-54,6120.0,nob/c,pr,sb,1U,south
25298,Joint,35-44,5760.0,nob/c,pr,sb,1U,North
25299,Sex Not Available,65-74,0.0,b/c,pr,sb,1U,south
25300,Male,45-54,19800.0,nob/c,pr,sb,1U,North
25301,Male,25-34,7020.0,nob/c,pr,sb,1U,south
25302,Male,35-44,2280.0,nob/c,pr,sb,1U,central
25303,Sex Not Available,65-74,,nob/c,pr,sb,1U,south
25304,Female,45-54,2940.0,b/c,pr,sb,1U,North
25305,Male,25-34,5040.0,nob/c,pr,sb,1U,North
25306,Sex Not Available,45-54,5040.0,nob/c,pr,sb,1U,south
25307,Male,55-64,3720.0,nob/c,pr,sb,1U,North
25308,Joint,>74,,nob/c,pr,sb,1U,North
25309,Male,35-44,6960.0,b/c,pr,sb,1U,North
25310,Sex Not Available,25-34,2580.0,b/c,pr,sb,1U,south
25311,Male,45-54,12660.0,nob/c,pr,sb,1U,south
25312,Female,25-34,4620.0,nob/c,pr,sb,1U,North
25313,Joint,55-64,11220.0,nob/c,pr,sb,1U,south
25314,Male,25-34,7380.0,nob/c,pr,sb,1U,North
25315,Male,45-54,4200.0,nob/c,pr,sb,1U,south
25316,Joint,35-44,6360.0,nob/c,pr,sb,1U,North
25317,Joint,65-74,7380.0,nob/c,ir,sb,1U,North
25318,Joint,55-64,,nob/c,pr,sb,1U,North
25319,Male,65-74,3960.0,nob/c,pr,sb,1U,south
25320,Female,45-54,5880.0,b/c,pr,sb,1U,North
25321,Sex Not Available,45-54,9720.0,nob/c,pr,sb,1U,south
25322,Sex Not Available,>74,2220.0,nob/c,pr,sb,1U,south
25323,Joint,55-64,3720.0,nob/c,pr,sb,1U,central
25324,Male,65-74,2820.0,b/c,pr,sb,1U,North
25325,Sex Not Available,35-44,3240.0,nob/c,pr,sb,1U,south
