applicant_id,loan_id,loan_type,loan_purpose,loan_amount,loan_term,property_value,loan_to_value,secured_by,security_type
24983,24983,type3,p1,586500,360.0,588000.0,99.74489796,home,direct
24984,24984,type1,p4,336500,360.0,,,home,direct
24985,24985,type2,p3,76500,300.0,88000.0,86.93181818,home,direct
24986,24986,type3,p4,286500,360.0,258000.0,111.0465116,home,direct
24987,24987,type1,p4,136500,180.0,208000.0,65.625,home,direct
24988,24988,type1,p1,486500,360.0,598000.0,81.35451505,home,direct
24989,24989,type1,p1,416500,360.0,498000.0,83.63453815,home,direct
24990,24990,type1,p1,186500,360.0,348000.0,53.59195402,home,direct
24991,24991,type1,p4,186500,360.0,,,home,direct
24992,24992,type2,p1,316500,360.0,318000.0,99.52830189,home,direct
24993,24993,type2,p4,346500,360.0,478000.0,72.48953975,home,direct
24994,24994,type1,p4,326500,348.0,438000.0,74.543379,home,direct
24995,24995,type1,p3,256500,180.0,818000.0,31.35696822,home,direct
24996,24996,type1,p1,226500,360.0,408000.0,55.51470588,home,direct
24997,24997,type1,p1,226500,360.0,588000.0,38.52040816,home,direct
24998,24998,type1,p1,906500,360.0,1308000.0,69.30428135,home,direct
24999,24999,type1,p4,386500,360.0,558000.0,69.26523297,home,direct
25000,25000,type2,p1,496500,360.0,508000.0,97.73622047,home,direct
25001,25001,type1,p3,106500,180.0,,,home,direct
25002,25002,type1,p3,186500,360.0,528000.0,35.3219697,home,direct
25003,25003,type1,p4,246500,360.0,288000.0,85.59027778,home,direct
25004,25004,type1,p1,126500,324.0,,,home,direct
25005,25005,type2,p1,226500,360.0,228000.0,99.34210526,home,direct
25006,25006,type3,p4,416500,360.0,508000.0,81.98818898,home,direct
25007,25007,type1,p4,146500,360.0,208000.0,70.43269231,home,direct
25008,25008,type2,p4,216500,360.0,,,home,direct
25009,25009,type1,p4,396500,360.0,768000.0,51.62760417,home,direct
25010,25010,type1,p1,246500,360.0,318000.0,77.51572327,home,direct
25011,25011,type3,p3,316500,360.0,388000.0,81.57216495,home,direct
25012,25012,type1,p1,296500,360.0,318000.0,93.23899371,home,direct
25013,25013,type3,p4,436500,360.0,558000.0,78.22580645,home,direct
25014,25014,type1,p3,226500,360.0,288000.0,78.64583333,home,direct
25015,25015,type3,p4,506500,360.0,578000.0,87.62975779,home,direct
25016,25016,type1,p4,296500,360.0,608000.0,48.76644737,home,direct
25017,25017,type1,p4,386500,360.0,598000.0,64.63210702,home,direct
25018,25018,type1,p3,106500,120.0,618000.0,17.23300971,home,direct
25019,25019,type1,p4,706500,360.0,898000.0,78.67483296,home,direct
25020,25020,type1,p3,176500,180.0,278000.0,63.48920863,home,direct
25021,25021,type1,p1,496500,360.0,588000.0,84.43877551,home,direct
25022,25022,type1,p3,606500,360.0,978000.0,62.01431493,home,direct
25023,25023,type2,p1,126500,360.0,138000.0,91.66666667,home,direct
25024,25024,type2,p3,156500,180.0,198000.0,79.04040404,home,direct
25025,25025,type1,p4,196500,360.0,208000.0,94.47115385,home,direct
25026,25026,type1,p3,256500,360.0,1308000.0,19.61009174,home,direct
25027,25027,type1,p3,1376500,360.0,1708000.0,80.59133489,home,direct
25028,25028,type1,p4,376500,360.0,608000.0,61.92434211,home,direct
25029,25029,type1,p4,296500,360.0,438000.0,67.69406393,home,direct
25030,25030,type1,p4,566500,360.0,,,home,direct
25031,25031,type1,p1,416500,360.0,858000.0,48.54312354,home,direct
25032,25032,type1,p4,476500,360.0,808000.0,58.97277228,home,direct
25033,25033,type3,p4,686500,360.0,,,home,direct
25034,25034,type1,p3,556500,240.0,,,home,direct
25035,25035,type1,p3,266500,360.0,568000.0,46.91901408,home,direct
25036,25036,type1,p1,406500,360.0,458000.0,88.75545852,home,direct
25037,25037,type3,p4,256500,360.0,758000.0,33.83905013,home,direct
25038,25038,type3,p1,236500,360.0,238000.0,99.3697479,home,direct
25039,25039,type2,p3,656500,360.0,,,home,direct
25040,25040,type1,p3,156500,360.0,258000.0,60.65891473,home,direct
25041,25041,type1,p1,406500,360.0,478000.0,85.041841,home,direct
25042,25042,type1,p3,476500,360.0,638000.0,74.68652038,home,direct
25043,25043,type1,p4,676500,360.0,1208000.0,56.00165563,home,direct
25044,25044,type2,p4,206500,360.0,238000.0,86.76470588,home,direct
25045,25045,type2,p3,126500,240.0,188000.0,67.28723404,home,direct
25046,25046,type1,p3,366500,360.0,468000.0,78.31196581,home,direct
25047,25047,type1,p4,156500,180.0,208000.0,75.24038462,home,direct
25048,25048,type1,p3,276500,360.0,648000.0,42.66975309,home,direct
25049,25049,type2,p1,636500,360.0,668000.0,95.28443114,home,direct
25050,25050,type1,p3,486500,360.0,908000.0,53.57929515,home,direct
25051,25051,type3,p4,266500,360.0,288000.0,92.53472222,home,direct
25052,25052,type1,p3,356500,360.0,588000.0,60.6292517,home,direct
25053,25053,type1,p4,396500,360.0,538000.0,73.69888476,home,direct
25054,25054,type1,p4,486500,360.0,618000.0,78.72168285,home,direct
25055,25055,type1,p4,716500,360.0,1138000.0,62.96133568,home,direct
25056,25056,type1,p3,596500,360.0,798000.0,74.74937343,home,direct
25057,25057,type1,p1,636500,360.0,798000.0,79.76190476,home,direct
25058,25058,type2,p4,116500,360.0,118000.0,98.72881356,home,direct
25059,25059,type1,p1,376500,360.0,418000.0,90.07177033,home,direct
25060,25060,type1,p3,356500,240.0,658000.0,54.17933131,home,direct
25061,25061,type2,p4,86500,360.0,88000.0,98.29545455,home,direct
25062,25062,type1,p4,226500,324.0,288000.0,78.64583333,home,direct
25063,25063,type2,p2,66500,360.0,198000.0,33.58585859,home,direct
25064,25064,type1,p1,556500,360.0,628000.0,88.61464968,home,direct
25065,25065,type2,p4,376500,360.0,378000.0,99.6031746,home,direct
25066,25066,type2,p1,106500,360.0,118000.0,90.25423729,home,direct
25067,25067,type1,p4,316500,360.0,428000.0,73.94859813,home,direct
25068,25068,type2,p3,116500,360.0,138000.0,84.42028986,home,direct
25069,25069,type1,p2,86500,360.0,308000.0,28.08441558,home,direct
25070,25070,type3,p1,326500,360.0,318000.0,102.672956,home,direct
25071,25071,type1,p4,176500,360.0,218000.0,80.96330275,home,direct
25072,25072,type2,p1,156500,360.0,158000.0,99.05063291,home,direct
25073,25073,type2,p3,346500,360.0,418000.0,82.89473684,home,direct
25074,25074,type1,p4,616500,180.0,828000.0,74.45652174,home,direct
25075,25075,type1,p1,456500,180.0,578000.0,78.97923875,home,direct
25076,25076,type2,p3,96500,360.0,138000.0,69.92753623,home,direct
25077,25077,type1,p4,256500,360.0,398000.0,64.44723618,home,direct
25078,25078,type2,p1,146500,360.0,158000.0,92.72151899,home,direct
25079,25079,type1,p3,316500,360.0,468000.0,67.62820513,home,direct
25080,25080,type2,p1,76500,360.0,,,home,direct
25081,25081,type3,p4,406500,360.0,408000.0,99.63235294,home,direct
25082,25082,type1,p1,116500,360.0,108000.0,107.8703704,home,direct
25083,25083,type1,p1,136500,180.0,278000.0,49.10071942,home,direct
25084,25084,type1,p2,206500,360.0,248000.0,83.26612903,home,direct
25085,25085,type2,p3,306500,360.0,,,home,direct
25086,25086,type1,p2,166500,360.0,618000.0,26.94174757,home,direct
25087,25087,type2,p4,216500,360.0,228000.0,94.95614035,home,direct
25088,25088,type1,p1,306500,360.0,338000.0,90.68047337,home,direct
25089,25089,type1,p4,826500,360.0,1268000.0,65.18138801,home,direct
25090,25090,type1,p1,136500,360.0,138000.0,98.91304348,home,direct
25091,25091,type1,p4,346500,360.0,538000.0,64.40520446,home,direct
25092,25092,type1,p4,386500,180.0,558000.0,69.26523297,home,direct
25093,25093,type1,p4,706500,180.0,1068000.0,66.15168539,home,direct
25094,25094,type1,p3,276500,360.0,338000.0,81.80473373,home,direct
25095,25095,type2,p2,26500,360.0,78000.0,33.97435897,home,direct
25096,25096,type3,p4,276500,360.0,488000.0,56.65983607,home,direct
25097,25097,type1,p3,186500,360.0,388000.0,48.06701031,home,direct
25098,25098,type1,p4,366500,360.0,858000.0,42.71561772,home,direct
25099,25099,type1,p4,666500,360.0,768000.0,86.78385417,home,direct
25100,25100,type1,p1,226500,360.0,288000.0,78.64583333,home,direct
25101,25101,type1,p4,106500,240.0,,,home,direct
25102,25102,type2,p4,426500,360.0,438000.0,97.37442922,home,direct
25103,25103,type1,p4,216500,360.0,408000.0,53.06372549,home,direct
25104,25104,type3,p1,146500,360.0,148000.0,98.98648649,home,direct
25105,25105,type1,p4,676500,360.0,1298000.0,52.11864407,home,direct
25106,25106,type2,p3,316500,300.0,298000.0,106.2080537,home,direct
25107,25107,type1,p3,76500,180.0,208000.0,36.77884615,home,direct
25108,25108,type1,p3,446500,180.0,638000.0,69.98432602,home,direct
25109,25109,type1,p2,256500,180.0,548000.0,46.80656934,home,direct
25110,25110,type3,p3,406500,360.0,,,home,direct
25111,25111,type1,p4,196500,360.0,,,home,direct
25112,25112,type1,p3,266500,360.0,358000.0,74.44134078,home,direct
25113,25113,type1,p4,196500,360.0,248000.0,79.23387097,home,direct
25114,25114,type1,p4,56500,180.0,158000.0,35.75949367,home,direct
25115,25115,type1,p3,546500,360.0,,,home,direct
25116,25116,type1,p4,336500,324.0,808000.0,41.6460396,home,direct
25117,25117,type1,p3,986500,360.0,1298000.0,76.00154083,home,direct
25118,25118,type2,p1,566500,360.0,578000.0,98.01038062,home,direct
25119,25119,type1,p4,526500,360.0,748000.0,70.38770053,home,direct
25120,25120,type1,p3,476500,360.0,,,home,direct
25121,25121,type2,p3,186500,360.0,218000.0,85.55045872,home,direct
25122,25122,type1,p3,316500,360.0,418000.0,75.71770335,home,direct
25123,25123,type1,p3,276500,360.0,318000.0,86.94968553,home,direct
25124,25124,type2,p4,606500,360.0,648000.0,93.59567901,home,direct
25125,25125,type1,p3,476500,360.0,638000.0,74.68652038,home,direct
25126,25126,type1,p4,526500,360.0,788000.0,66.81472081,home,direct
25127,25127,type1,p4,566500,360.0,928000.0,61.04525862,home,direct
25128,25128,type1,p3,236500,360.0,318000.0,74.37106918,home,direct
25129,25129,type1,p3,256500,360.0,388000.0,66.10824742,home,direct
25130,25130,type1,p1,586500,360.0,,,home,direct
25131,25131,type1,p3,316500,360.0,,,home,direct
25132,25132,type1,p1,156500,360.0,278000.0,56.29496403,home,direct
25133,25133,type1,p4,436500,360.0,518000.0,84.26640927,home,direct
25134,25134,type1,p3,486500,360.0,938000.0,51.86567164,home,direct
25135,25135,type1,p3,356500,360.0,488000.0,73.05327869,home,direct
25136,25136,type1,p4,266500,360.0,378000.0,70.5026455,home,direct
25137,25137,type1,p3,186500,360.0,418000.0,44.61722488,home,direct
25138,25138,type1,p3,126500,240.0,218000.0,58.02752294,home,direct
25139,25139,type1,p3,276500,360.0,388000.0,71.2628866,home,direct
25140,25140,type1,p1,106500,360.0,148000.0,71.95945946,home,direct
25141,25141,type1,p4,386500,360.0,448000.0,86.27232143,home,direct
25142,25142,type1,p3,376500,360.0,598000.0,62.95986622,home,direct
25143,25143,type1,p3,206500,360.0,288000.0,71.70138889,home,direct
25144,25144,type1,p4,286500,360.0,,,home,direct
25145,25145,type1,p2,486500,360.0,888000.0,54.78603604,home,direct
25146,25146,type1,p4,406500,360.0,808000.0,50.30940594,home,direct
25147,25147,type1,p1,146500,180.0,158000.0,92.72151899,home,direct
25148,25148,type2,p3,156500,360.0,178000.0,87.92134831,home,direct
25149,25149,type1,p4,476500,360.0,498000.0,95.68273092,home,direct
25150,25150,type1,p4,86500,360.0,208000.0,41.58653846,home,direct
25151,25151,type1,p3,246500,360.0,298000.0,82.71812081,home,direct
25152,25152,type3,p3,596500,360.0,608000.0,98.10855263,home,direct
25153,25153,type1,p4,556500,360.0,838000.0,66.40811456,home,direct
25154,25154,type1,p1,1226500,360.0,1758000.0,69.76678043,home,direct
25155,25155,type1,p1,266500,360.0,,,home,direct
25156,25156,type2,p1,196500,324.0,198000.0,99.24242424,home,direct
25157,25157,type1,p3,416500,360.0,658000.0,63.29787234,home,direct
25158,25158,type1,p3,206500,360.0,188000.0,109.8404255,home,direct
25159,25159,type1,p3,106500,360.0,,,home,direct
25160,25160,type1,p3,386500,360.0,648000.0,59.64506173,home,direct
25161,25161,type1,p1,246500,360.0,348000.0,70.83333333,home,direct
25162,25162,type2,p3,266500,360.0,308000.0,86.52597403,home,direct
25163,25163,type1,p1,336500,360.0,358000.0,93.99441341,home,direct
25164,25164,type2,p3,126500,360.0,148000.0,85.47297297,home,direct
25165,25165,type1,p1,206500,360.0,378000.0,54.62962963,home,direct
25166,25166,type1,p1,66500,360.0,78000.0,85.25641026,home,direct
25167,25167,type1,p3,476500,360.0,748000.0,63.70320856,home,direct
25168,25168,type1,p4,376500,360.0,478000.0,78.76569038,home,direct
25169,25169,type1,p1,256500,360.0,278000.0,92.26618705,home,direct
25170,25170,type1,p4,316500,240.0,558000.0,56.72043011,home,direct
25171,25171,type1,p1,426500,300.0,,,home,direct
25172,25172,type1,p4,216500,360.0,328000.0,66.00609756,home,direct
25173,25173,type1,p4,436500,360.0,628000.0,69.50636943,home,direct
25174,25174,type1,p3,126500,360.0,298000.0,42.44966443,home,direct
25175,25175,type1,p4,96500,96.0,158000.0,61.07594937,home,direct
25176,25176,type1,p2,406500,360.0,838000.0,48.50835322,home,direct
25177,25177,type1,p1,336500,360.0,358000.0,93.99441341,home,direct
25178,25178,type1,p4,426500,360.0,588000.0,72.53401361,home,direct
25179,25179,type1,p3,416500,240.0,608000.0,68.50328947,home,direct
25180,25180,type2,p3,186500,360.0,218000.0,85.55045872,home,direct
25181,25181,type1,p3,606500,360.0,1508000.0,40.21883289,home,direct
25182,25182,type1,p4,446500,360.0,538000.0,82.99256506,home,direct
25183,25183,type1,p4,156500,360.0,158000.0,99.05063291,home,direct
25184,25184,type1,p1,256500,360.0,258000.0,99.41860465,home,direct
25185,25185,type1,p4,336500,180.0,458000.0,73.47161572,home,direct
25186,25186,type1,p3,406500,360.0,668000.0,60.85329341,home,direct
25187,25187,type3,p1,266500,360.0,,,home,direct
25188,25188,type3,p1,266500,360.0,258000.0,103.2945736,home,direct
25189,25189,type1,p3,156500,240.0,328000.0,47.71341463,home,direct
25190,25190,type1,p4,186500,360.0,,,home,direct
25191,25191,type2,p4,636500,360.0,,,home,direct
25192,25192,type1,p4,286500,360.0,,,home,direct
25193,25193,type1,p1,266500,360.0,278000.0,95.86330935,home,direct
25194,25194,type1,p3,266500,360.0,378000.0,70.5026455,home,direct
25195,25195,type1,p4,226500,300.0,308000.0,73.53896104,home,direct
25196,25196,type3,p4,146500,360.0,178000.0,82.30337079,home,direct
25197,25197,type2,p1,166500,360.0,168000.0,99.10714286,home,direct
25198,25198,type3,p1,76500,360.0,78000.0,98.07692308,home,direct
25199,25199,type1,p1,336500,360.0,,,home,direct
25200,25200,type2,p3,266500,360.0,408000.0,65.31862745,home,direct
25201,25201,type2,p3,186500,360.0,228000.0,81.79824561,home,direct
25202,25202,type3,p1,506500,360.0,498000.0,101.7068273,home,direct
25203,25203,type1,p3,286500,360.0,428000.0,66.93925234,home,direct
25204,25204,type1,p1,566500,360.0,598000.0,94.73244147,home,direct
25205,25205,type1,p4,366500,360.0,658000.0,55.69908815,home,direct
25206,25206,type1,p4,426500,360.0,668000.0,63.84730539,home,direct
25207,25207,type1,p3,296500,360.0,378000.0,78.43915344,home,direct
25208,25208,type3,p3,676500,360.0,978000.0,69.17177914,home,direct
25209,25209,type1,p4,526500,360.0,718000.0,73.32869081,home,direct
25210,25210,type1,p3,256500,360.0,368000.0,69.70108696,home,direct
25211,25211,type1,p1,266500,324.0,328000.0,81.25,home,direct
25212,25212,type1,p3,216500,360.0,288000.0,75.17361111,home,direct
25213,25213,type1,p3,156500,360.0,288000.0,54.34027778,home,direct
25214,25214,type1,p4,726500,360.0,,,home,direct
25215,25215,type1,p1,486500,360.0,538000.0,90.42750929,home,direct
25216,25216,type2,p3,256500,360.0,358000.0,71.64804469,home,direct
25217,25217,type1,p3,396500,300.0,568000.0,69.80633803,home,direct
25218,25218,type1,p1,236500,360.0,,,home,direct
25219,25219,type1,p4,236500,360.0,308000.0,76.78571429,home,direct
25220,25220,type1,p1,1486500,360.0,2128000.0,69.85432331,home,direct
25221,25221,type1,p4,156500,240.0,398000.0,39.32160804,home,direct
25222,25222,type1,p3,86500,180.0,248000.0,34.87903226,home,direct
25223,25223,type1,p3,1416500,360.0,3848000.0,36.81133056,home,direct
25224,25224,type3,p4,396500,360.0,408000.0,97.18137255,home,direct
25225,25225,type1,p4,486500,180.0,998000.0,48.74749499,home,direct
25226,25226,type1,p3,216500,360.0,338000.0,64.05325444,home,direct
25227,25227,type1,p4,266500,300.0,318000.0,83.80503145,home,direct
25228,25228,type1,p4,466500,360.0,618000.0,75.48543689,home,direct
25229,25229,type1,p3,156500,240.0,258000.0,60.65891473,home,direct
25230,25230,type2,p3,606500,360.0,668000.0,90.79341317,home,direct
25231,25231,type1,p1,246500,360.0,258000.0,95.54263566,home,direct
25232,25232,type1,p4,316500,240.0,548000.0,57.75547445,home,direct
25233,25233,type1,p1,556500,360.0,738000.0,75.40650407,home,direct
25234,25234,type3,p3,266500,360.0,298000.0,89.4295302,home,direct
25235,25235,type1,p4,306500,360.0,328000.0,93.44512195,home,direct
25236,25236,type1,p3,456500,192.0,778000.0,58.67609254,home,direct
25237,25237,type2,p3,116500,360.0,138000.0,84.42028986,home,direct
25238,25238,type1,p3,206500,360.0,,,home,direct
25239,25239,type1,p3,556500,360.0,688000.0,80.88662791,home,direct
25240,25240,type1,p4,486500,180.0,,,home,direct
25241,25241,type2,p4,186500,360.0,208000.0,89.66346154,home,direct
25242,25242,type1,p4,266500,360.0,318000.0,83.80503145,home,direct
25243,25243,type2,p3,136500,360.0,188000.0,72.60638298,home,direct
25244,25244,type1,p4,536500,360.0,818000.0,65.58679707,home,direct
25245,25245,type1,p4,186500,180.0,288000.0,64.75694444,home,direct
25246,25246,type1,p3,796500,360.0,2398000.0,33.21517932,home,direct
25247,25247,type1,p4,336500,360.0,518000.0,64.96138996,home,direct
25248,25248,type2,p3,196500,360.0,228000.0,86.18421053,home,direct
25249,25249,type1,p3,536500,360.0,,,home,direct
25250,25250,type1,p3,166500,360.0,238000.0,69.95798319,home,direct
25251,25251,type1,p4,336500,360.0,,,home,direct
25252,25252,type3,p4,136500,360.0,148000.0,92.22972973,home,direct
25253,25253,type2,p3,106500,360.0,138000.0,77.17391304,home,direct
25254,25254,type1,p4,176500,360.0,228000.0,77.4122807,home,direct
25255,25255,type1,p4,446500,324.0,,,home,direct
25256,25256,type3,p1,416500,360.0,418000.0,99.64114833,home,direct
25257,25257,type2,p3,96500,240.0,158000.0,61.07594937,home,direct
25258,25258,type3,p4,306500,360.0,308000.0,99.51298701,home,direct
25259,25259,type1,p3,406500,360.0,718000.0,56.61559889,home,direct
25260,25260,type3,p4,416500,360.0,498000.0,83.63453815,home,direct
25261,25261,type3,p4,156500,360.0,158000.0,99.05063291,home,direct
25262,25262,type1,p3,126500,360.0,178000.0,71.06741573,home,direct
25263,25263,type1,p4,406500,360.0,608000.0,66.85855263,home,direct
25264,25264,type1,p4,506500,360.0,728000.0,69.57417582,home,direct
25265,25265,type1,p4,516500,360.0,588000.0,87.84013605,home,direct
25266,25266,type1,p1,556500,360.0,628000.0,88.61464968,home,direct
25267,25267,type1,p4,296500,240.0,408000.0,72.67156863,home,direct
25268,25268,type1,p3,246500,240.0,348000.0,70.83333333,home,direct
25269,25269,type1,p3,246500,180.0,338000.0,72.92899408,home,direct
25270,25270,type1,p4,226500,360.0,288000.0,78.64583333,home,direct
25271,25271,type1,p4,156500,360.0,198000.0,79.04040404,home,direct
25272,25272,type1,p3,176500,360.0,298000.0,59.22818792,home,direct
25273,25273,type1,p4,266500,180.0,408000.0,65.31862745,home,direct
25274,25274,type1,p3,216500,360.0,318000.0,68.08176101,home,direct
25275,25275,type2,p3,416500,360.0,478000.0,87.13389121,home,direct
25276,25276,type1,p3,106500,360.0,,,home,direct
25277,25277,type1,p3,456500,360.0,568000.0,80.36971831,home,direct
25278,25278,type1,p3,456500,240.0,858000.0,53.20512821,home,direct
25279,25279,type3,p3,96500,360.0,108000.0,89.35185185,home,direct
25280,25280,type1,p3,126500,180.0,218000.0,58.02752294,home,direct
25281,25281,type1,p4,246500,360.0,778000.0,31.68380463,home,direct
25282,25282,type1,p1,496500,360.0,628000.0,79.06050955,home,direct
25283,25283,type1,p4,156500,360.0,418000.0,37.44019139,home,direct
25284,25284,type1,p4,156500,156.0,168000.0,93.1547619,home,direct
25285,25285,type3,p3,326500,360.0,,,home,direct
25286,25286,type1,p3,86500,228.0,138000.0,62.68115942,home,direct
25287,25287,type1,p1,376500,360.0,398000.0,94.59798995,home,direct
25288,25288,type1,p4,206500,360.0,408000.0,50.6127451,home,direct
25289,25289,type1,p3,116500,360.0,148000.0,78.71621622,home,direct
25290,25290,type1,p1,156500,360.0,168000.0,93.1547619,home,direct
25291,25291,type2,p3,266500,180.0,,,home,direct
25292,25292,type2,p3,136500,180.0,168000.0,81.25,home,direct
25293,25293,type1,p3,276500,312.0,358000.0,77.23463687,home,direct
25294,25294,type2,p4,86500,360.0,108000.0,80.09259259,home,direct
25295,25295,type1,p1,46500,360.0,98000.0,47.44897959,home,direct
25296,25296,type1,p3,356500,120.0,958000.0,37.21294363,home,direct
