applicant_id,credit_worthiness,open_credit,credit_type,credit_score,co_applicant_credit_type,negative_amortization,interest_only,lump_sum_payment,debt_to_income_ratio
24925,l1,nopc,EXP,889,CIB,not_neg,not_int,not_lpsm,40.0
24926,l1,nopc,EXP,651,CIB,not_neg,not_int,not_lpsm,38.0
24927,l1,nopc,EXP,716,EXP,not_neg,not_int,not_lpsm,42.0
24928,l1,nopc,EXP,780,EXP,not_neg,not_int,not_lpsm,45.0
24929,l1,nopc,CRIF,799,CIB,not_neg,not_int,not_lpsm,42.0
24930,l1,nopc,EXP,766,CIB,not_neg,not_int,not_lpsm,30.0
24931,l1,nopc,CIB,868,CIB,not_neg,not_int,not_lpsm,56.0
24932,l1,nopc,EQUI,765,EXP,not_neg,not_int,not_lpsm,
24933,l1,nopc,CRIF,673,CIB,not_neg,not_int,not_lpsm,38.0
24934,l1,nopc,CRIF,876,EXP,neg_amm,not_int,not_lpsm,44.0
24935,l1,nopc,CRIF,886,EXP,not_neg,not_int,not_lpsm,39.0
24936,l1,nopc,CRIF,772,EXP,not_neg,not_int,not_lpsm,38.0
24937,l1,nopc,CRIF,640,EXP,not_neg,not_int,not_lpsm,49.0
24938,l1,nopc,CIB,798,CIB,not_neg,not_int,not_lpsm,
24939,l1,nopc,CRIF,858,EXP,not_neg,not_int,not_lpsm,39.0
24940,l1,nopc,CIB,543,EXP,not_neg,not_int,not_lpsm,30.0
24941,l1,nopc,EXP,846,CIB,not_neg,not_int,not_lpsm,23.0
24942,l1,nopc,EQUI,555,EXP,not_neg,not_int,not_lpsm,
24943,l1,nopc,EQUI,603,EXP,not_neg,not_int,not_lpsm,
24944,l1,nopc,EXP,808,EXP,not_neg,not_int,not_lpsm,28.0
24945,l1,nopc,CIB,519,EXP,not_neg,not_int,not_lpsm,31.0
24946,l1,nopc,CIB,786,EXP,not_neg,not_int,not_lpsm,11.0
24947,l1,nopc,CIB,769,CIB,not_neg,not_int,not_lpsm,42.0
24948,l1,nopc,CRIF,685,CIB,not_neg,not_int,not_lpsm,30.0
24949,l1,nopc,CRIF,556,CIB,not_neg,not_int,not_lpsm,27.0
24950,l1,nopc,EXP,567,CIB,neg_amm,not_int,not_lpsm,20.0
24951,l1,nopc,CIB,632,CIB,not_neg,not_int,not_lpsm,31.0
24952,l1,nopc,CIB,818,EXP,not_neg,not_int,not_lpsm,40.0
24953,l1,nopc,EXP,584,CIB,not_neg,not_int,not_lpsm,55.0
24954,l1,nopc,EXP,750,EXP,not_neg,not_int,not_lpsm,34.0
24955,l1,nopc,EXP,808,CIB,not_neg,not_int,not_lpsm,22.0
24956,l1,nopc,EQUI,838,EXP,not_neg,not_int,not_lpsm,
24957,l1,nopc,CIB,741,CIB,not_neg,int_only,not_lpsm,36.0
24958,l1,nopc,CRIF,820,CIB,not_neg,not_int,not_lpsm,40.0
24959,l2,nopc,CRIF,665,CIB,not_neg,not_int,not_lpsm,24.0
24960,l1,nopc,CRIF,783,EXP,not_neg,not_int,not_lpsm,30.0
24961,l2,nopc,EXP,663,CIB,not_neg,not_int,not_lpsm,46.0
24962,l1,nopc,EXP,612,CIB,not_neg,not_int,not_lpsm,30.0
24963,l1,nopc,CRIF,739,CIB,not_neg,not_int,not_lpsm,52.0
24964,l1,nopc,CIB,812,CIB,not_neg,not_int,not_lpsm,33.0
24965,l1,nopc,EXP,571,EXP,not_neg,not_int,not_lpsm,44.0
24966,l1,nopc,CRIF,870,CIB,not_neg,not_int,not_lpsm,49.0
24967,l1,nopc,CRIF,793,EXP,not_neg,not_int,not_lpsm,30.0
24968,l1,nopc,CRIF,804,CIB,not_neg,not_int,not_lpsm,26.0
24969,l1,nopc,CIB,801,EXP,not_neg,not_int,not_lpsm,40.0
24970,l1,nopc,CIB,711,CIB,not_neg,not_int,not_lpsm,47.0
24971,l1,nopc,CIB,673,EXP,not_neg,not_int,not_lpsm,49.0
24972,l1,nopc,CIB,634,EXP,not_neg,int_only,not_lpsm,23.0
24973,l1,nopc,CIB,834,CIB,not_neg,not_int,not_lpsm,33.0
24974,l1,nopc,EQUI,764,EXP,not_neg,int_only,not_lpsm,
24975,l1,nopc,CRIF,865,EXP,not_neg,not_int,not_lpsm,60.0
24976,l1,nopc,EXP,593,CIB,not_neg,not_int,not_lpsm,44.0
24977,l1,nopc,EXP,511,EXP,not_neg,not_int,not_lpsm,
24978,l1,nopc,CRIF,533,EXP,not_neg,not_int,not_lpsm,31.0
24979,l2,opc,EXP,677,EXP,not_neg,int_only,not_lpsm,41.0
24980,l1,nopc,EXP,774,CIB,not_neg,not_int,not_lpsm,44.0
24981,l1,nopc,EXP,638,EXP,not_neg,not_int,not_lpsm,25.0
24982,l1,nopc,EXP,644,CIB,not_neg,not_int,not_lpsm,44.0
24983,l1,nopc,EXP,732,CIB,not_neg,not_int,not_lpsm,49.0
24984,l1,nopc,EQUI,586,EXP,not_neg,not_int,lpsm,
24985,l1,nopc,CIB,642,CIB,neg_amm,not_int,not_lpsm,45.0
24986,l1,nopc,EXP,872,CIB,not_neg,not_int,not_lpsm,
24987,l1,nopc,EXP,898,CIB,not_neg,not_int,not_lpsm,45.0
24988,l1,nopc,CIB,734,CIB,not_neg,not_int,not_lpsm,31.0
24989,l1,nopc,CIB,639,CIB,not_neg,int_only,not_lpsm,47.0
24990,l1,nopc,EXP,506,CIB,not_neg,not_int,not_lpsm,46.0
24991,l1,nopc,EQUI,664,EXP,not_neg,not_int,not_lpsm,
24992,l1,nopc,EXP,670,CIB,not_neg,not_int,not_lpsm,32.0
24993,l1,nopc,EXP,577,CIB,not_neg,int_only,not_lpsm,
24994,l1,nopc,EXP,857,CIB,not_neg,not_int,not_lpsm,46.0
24995,l2,nopc,CRIF,653,EXP,not_neg,not_int,not_lpsm,10.0
24996,l1,nopc,CRIF,595,CIB,not_neg,not_int,not_lpsm,41.0
24997,l1,nopc,EXP,639,EXP,neg_amm,not_int,not_lpsm,32.0
24998,l1,nopc,CIB,787,EXP,not_neg,not_int,not_lpsm,39.0
24999,l1,nopc,CIB,560,EXP,not_neg,not_int,not_lpsm,38.0
25000,l1,nopc,CRIF,613,EXP,not_neg,not_int,not_lpsm,56.0
25001,l1,nopc,EQUI,514,EXP,not_neg,not_int,not_lpsm,
25002,l1,nopc,EXP,867,EXP,not_neg,not_int,not_lpsm,49.0
25003,l1,nopc,CRIF,717,CIB,neg_amm,not_int,not_lpsm,36.0
25004,l1,nopc,EQUI,872,EXP,neg_amm,not_int,not_lpsm,
25005,l1,nopc,EXP,619,CIB,not_neg,not_int,not_lpsm,60.0
25006,l1,nopc,EXP,668,CIB,not_neg,not_int,not_lpsm,
25007,l1,nopc,EXP,640,EXP,not_neg,not_int,not_lpsm,42.0
25008,l1,nopc,EQUI,600,EXP,not_neg,not_int,not_lpsm,
25009,l1,nopc,CRIF,524,CIB,not_neg,not_int,not_lpsm,15.0
25010,l1,nopc,EXP,883,CIB,not_neg,not_int,not_lpsm,40.0
25011,l1,nopc,CIB,503,EXP,not_neg,not_int,not_lpsm,53.0
25012,l1,nopc,CRIF,887,EXP,not_neg,not_int,not_lpsm,46.0
25013,l1,nopc,CRIF,604,EXP,not_neg,not_int,not_lpsm,
25014,l1,nopc,CRIF,644,CIB,not_neg,not_int,not_lpsm,31.0
25015,l1,nopc,CRIF,648,EXP,not_neg,not_int,not_lpsm,
25016,l1,nopc,CIB,797,CIB,not_neg,not_int,not_lpsm,7.0
25017,l1,nopc,EXP,806,CIB,not_neg,int_only,not_lpsm,38.0
25018,l1,nopc,CRIF,845,EXP,not_neg,not_int,not_lpsm,19.0
25019,l1,nopc,CRIF,815,CIB,not_neg,not_int,not_lpsm,27.0
25020,l1,nopc,CIB,585,CIB,not_neg,not_int,not_lpsm,37.0
25021,l1,nopc,CIB,729,EXP,neg_amm,not_int,not_lpsm,40.0
25022,l1,nopc,EXP,538,CIB,not_neg,not_int,not_lpsm,20.0
25023,l1,nopc,CIB,629,CIB,not_neg,not_int,not_lpsm,55.0
25024,l1,nopc,CIB,791,CIB,not_neg,not_int,not_lpsm,30.0
25025,l1,nopc,CRIF,671,CIB,not_neg,not_int,not_lpsm,36.0
25026,l1,nopc,CIB,787,EXP,not_neg,not_int,not_lpsm,42.0
25027,l1,nopc,EXP,572,CIB,not_neg,not_int,not_lpsm,10.0
25028,l1,nopc,CIB,755,CIB,not_neg,not_int,not_lpsm,41.0
25029,l1,nopc,CRIF,670,EXP,not_neg,not_int,not_lpsm,44.0
25030,l1,nopc,EQUI,760,EXP,neg_amm,not_int,not_lpsm,
25031,l1,nopc,CIB,578,EXP,not_neg,not_int,not_lpsm,24.0
25032,l2,nopc,CIB,648,CIB,not_neg,not_int,not_lpsm,38.0
25033,l1,nopc,EQUI,836,EXP,not_neg,not_int,not_lpsm,
25034,l1,nopc,EQUI,900,EXP,neg_amm,not_int,not_lpsm,
25035,l1,nopc,CIB,777,EXP,not_neg,not_int,not_lpsm,39.0
25036,l1,nopc,EXP,765,EXP,not_neg,not_int,not_lpsm,36.0
25037,l1,nopc,CRIF,534,CIB,not_neg,not_int,not_lpsm,
25038,l1,nopc,CIB,667,EXP,not_neg,not_int,not_lpsm,36.0
25039,l1,nopc,EQUI,880,EXP,not_neg,not_int,not_lpsm,
25040,l1,nopc,CIB,820,CIB,not_neg,not_int,not_lpsm,31.0
25041,l1,nopc,EXP,568,CIB,not_neg,not_int,not_lpsm,49.0
25042,l2,nopc,EXP,805,EXP,not_neg,not_int,not_lpsm,48.0
25043,l1,nopc,CRIF,590,CIB,not_neg,not_int,not_lpsm,35.0
25044,l1,nopc,EXP,892,CIB,not_neg,not_int,not_lpsm,
25045,l1,nopc,CRIF,540,CIB,not_neg,not_int,not_lpsm,40.0
25046,l1,nopc,CIB,869,EXP,not_neg,not_int,not_lpsm,32.0
25047,l1,nopc,CIB,737,CIB,not_neg,not_int,not_lpsm,59.0
25048,l1,nopc,CIB,831,CIB,not_neg,not_int,not_lpsm,49.0
25049,l1,nopc,CIB,671,EXP,not_neg,not_int,not_lpsm,57.0
25050,l1,nopc,CRIF,608,CIB,not_neg,not_int,not_lpsm,26.0
25051,l1,nopc,CRIF,803,CIB,not_neg,not_int,not_lpsm,
25052,l1,nopc,CRIF,795,EXP,not_neg,not_int,not_lpsm,42.0
25053,l1,nopc,EXP,642,EXP,not_neg,not_int,not_lpsm,9.0
25054,l1,nopc,EXP,674,CIB,not_neg,not_int,not_lpsm,30.0
25055,l1,nopc,CRIF,804,EXP,not_neg,not_int,lpsm,42.0
25056,l1,nopc,EXP,788,EXP,not_neg,not_int,not_lpsm,41.0
25057,l1,nopc,CIB,737,CIB,not_neg,not_int,not_lpsm,10.0
25058,l1,nopc,CIB,781,CIB,not_neg,not_int,not_lpsm,44.0
25059,l1,nopc,CIB,545,CIB,not_neg,not_int,not_lpsm,36.0
25060,l1,nopc,CRIF,796,EXP,not_neg,not_int,not_lpsm,40.0
25061,l1,nopc,EXP,660,CIB,not_neg,not_int,not_lpsm,50.0
25062,l1,nopc,CIB,850,CIB,not_neg,not_int,not_lpsm,42.0
25063,l2,nopc,CRIF,851,CIB,not_neg,not_int,not_lpsm,48.0
25064,l1,nopc,CRIF,794,EXP,not_neg,not_int,not_lpsm,48.0
25065,l1,nopc,EXP,866,EXP,neg_amm,not_int,not_lpsm,
25066,l1,nopc,CIB,777,CIB,neg_amm,not_int,not_lpsm,31.0
25067,l1,nopc,CRIF,780,EXP,neg_amm,not_int,not_lpsm,32.0
25068,l1,nopc,EXP,611,CIB,not_neg,not_int,not_lpsm,59.0
25069,l1,nopc,EXP,584,EXP,not_neg,not_int,not_lpsm,21.0
25070,l1,nopc,CRIF,621,EXP,not_neg,not_int,not_lpsm,28.0
25071,l1,nopc,EXP,660,CIB,not_neg,not_int,not_lpsm,36.0
25072,l1,nopc,CRIF,862,CIB,not_neg,not_int,not_lpsm,45.0
25073,l1,nopc,CRIF,829,EXP,neg_amm,not_int,not_lpsm,33.0
25074,l1,nopc,CIB,848,CIB,not_neg,not_int,not_lpsm,38.0
25075,l1,nopc,CIB,775,CIB,not_neg,not_int,not_lpsm,19.0
25076,l1,nopc,CIB,812,EXP,not_neg,not_int,not_lpsm,46.0
25077,l1,nopc,CIB,733,CIB,not_neg,not_int,not_lpsm,44.0
25078,l1,nopc,CIB,700,CIB,not_neg,not_int,not_lpsm,40.0
25079,l1,nopc,CRIF,781,EXP,neg_amm,not_int,not_lpsm,42.0
25080,l1,nopc,EQUI,633,EXP,neg_amm,not_int,not_lpsm,
25081,l1,nopc,EXP,702,CIB,not_neg,not_int,not_lpsm,
25082,l1,nopc,EXP,882,CIB,not_neg,not_int,not_lpsm,37.0
25083,l1,nopc,CIB,880,EXP,not_neg,not_int,not_lpsm,10.0
25084,l1,nopc,EXP,686,CIB,not_neg,not_int,lpsm,37.0
25085,l1,nopc,EQUI,733,EXP,not_neg,not_int,lpsm,
25086,l1,nopc,EXP,652,EXP,not_neg,not_int,not_lpsm,58.0
25087,l1,nopc,CRIF,524,EXP,not_neg,int_only,not_lpsm,
25088,l1,nopc,CRIF,705,CIB,neg_amm,not_int,not_lpsm,49.0
25089,l1,nopc,CIB,844,EXP,not_neg,not_int,not_lpsm,29.0
25090,l1,nopc,CRIF,642,EXP,not_neg,not_int,not_lpsm,47.0
25091,l1,nopc,CIB,649,EXP,not_neg,not_int,not_lpsm,45.0
25092,l1,nopc,CRIF,557,CIB,not_neg,not_int,not_lpsm,29.0
25093,l1,nopc,CRIF,866,EXP,not_neg,not_int,not_lpsm,35.0
25094,l1,nopc,CRIF,761,EXP,not_neg,not_int,not_lpsm,49.0
25095,l1,nopc,EXP,569,CIB,neg_amm,not_int,not_lpsm,24.0
25096,l1,nopc,CIB,523,EXP,not_neg,not_int,not_lpsm,
25097,l1,nopc,EXP,740,EXP,neg_amm,not_int,not_lpsm,43.0
25098,l1,nopc,EXP,638,CIB,not_neg,not_int,not_lpsm,6.0
25099,l1,nopc,EXP,506,EXP,not_neg,not_int,not_lpsm,36.0
25100,l1,nopc,CRIF,803,CIB,not_neg,not_int,not_lpsm,44.0
25101,l1,nopc,EQUI,880,EXP,not_neg,not_int,lpsm,
25102,l1,nopc,EXP,690,EXP,not_neg,not_int,not_lpsm,
25103,l1,nopc,CRIF,616,EXP,not_neg,not_int,not_lpsm,33.0
25104,l1,nopc,CIB,648,CIB,not_neg,not_int,not_lpsm,42.0
25105,l1,nopc,EXP,660,EXP,not_neg,not_int,not_lpsm,33.0
25106,l2,nopc,CRIF,782,EXP,neg_amm,not_int,not_lpsm,59.0
25107,l1,nopc,EXP,601,EXP,not_neg,not_int,not_lpsm,9.0
25108,l1,nopc,EXP,809,CIB,not_neg,not_int,not_lpsm,48.0
25109,l1,nopc,CIB,855,EXP,not_neg,not_int,not_lpsm,38.0
25110,l1,nopc,EQUI,768,EXP,not_neg,not_int,not_lpsm,
25111,l1,nopc,EQUI,627,EXP,not_neg,not_int,not_lpsm,
25112,l1,nopc,CRIF,854,EXP,not_neg,not_int,not_lpsm,17.0
25113,l1,nopc,CRIF,700,CIB,not_neg,not_int,not_lpsm,45.0
25114,l1,nopc,CRIF,762,CIB,not_neg,not_int,not_lpsm,20.0
25115,l1,nopc,EQUI,746,EXP,not_neg,not_int,not_lpsm,
25116,l1,nopc,CRIF,592,EXP,not_neg,not_int,not_lpsm,43.0
25117,l1,nopc,CIB,703,EXP,not_neg,not_int,not_lpsm,42.0
25118,l1,nopc,EXP,613,CIB,not_neg,not_int,not_lpsm,50.0
25119,l1,nopc,CIB,697,EXP,not_neg,not_int,not_lpsm,45.0
25120,l1,nopc,EQUI,740,EXP,not_neg,not_int,not_lpsm,
25121,l1,nopc,CIB,545,CIB,not_neg,not_int,not_lpsm,49.0
25122,l1,nopc,CIB,710,CIB,not_neg,not_int,not_lpsm,39.0
25123,l1,nopc,CRIF,664,EXP,not_neg,not_int,not_lpsm,31.0
25124,l1,nopc,CRIF,522,CIB,not_neg,not_int,not_lpsm,
25125,l1,nopc,EXP,789,EXP,not_neg,not_int,not_lpsm,41.0
25126,l1,nopc,CRIF,898,EXP,not_neg,not_int,not_lpsm,24.0
25127,l1,nopc,CRIF,693,CIB,neg_amm,not_int,not_lpsm,23.0
25128,l1,nopc,CIB,571,EXP,not_neg,not_int,not_lpsm,41.0
25129,l1,nopc,CRIF,597,EXP,not_neg,int_only,not_lpsm,19.0
25130,l1,nopc,EQUI,680,EXP,not_neg,not_int,not_lpsm,
25131,l1,nopc,EQUI,571,EXP,not_neg,not_int,not_lpsm,
25132,l1,nopc,CIB,575,CIB,not_neg,not_int,not_lpsm,23.0
25133,l1,nopc,CIB,694,CIB,not_neg,not_int,not_lpsm,44.0
25134,l1,nopc,EXP,581,EXP,not_neg,not_int,not_lpsm,39.0
25135,l1,nopc,CIB,796,CIB,not_neg,not_int,not_lpsm,40.0
25136,l1,nopc,EXP,678,EXP,not_neg,not_int,not_lpsm,42.0
25137,l1,nopc,CIB,714,EXP,not_neg,int_only,not_lpsm,38.0
25138,l1,nopc,CRIF,871,EXP,not_neg,not_int,not_lpsm,44.0
25139,l1,nopc,CIB,800,CIB,not_neg,not_int,not_lpsm,47.0
25140,l1,nopc,CRIF,700,CIB,not_neg,not_int,not_lpsm,40.0
25141,l1,nopc,EXP,880,EXP,not_neg,not_int,not_lpsm,36.0
25142,l1,nopc,CIB,853,EXP,not_neg,not_int,not_lpsm,37.0
25143,l1,nopc,CRIF,644,CIB,not_neg,not_int,not_lpsm,39.0
25144,l1,nopc,EQUI,898,EXP,not_neg,not_int,not_lpsm,
25145,l1,nopc,EXP,717,CIB,not_neg,int_only,not_lpsm,38.0
25146,l1,nopc,CRIF,773,CIB,not_neg,not_int,not_lpsm,42.0
25147,l1,nopc,EXP,868,CIB,not_neg,not_int,not_lpsm,43.0
25148,l1,nopc,EXP,540,CIB,not_neg,not_int,not_lpsm,50.0
25149,l1,nopc,EXP,718,CIB,not_neg,not_int,not_lpsm,45.0
25150,l1,nopc,EXP,786,EXP,not_neg,not_int,not_lpsm,42.0
25151,l1,nopc,CIB,713,CIB,not_neg,not_int,not_lpsm,43.0
25152,l1,nopc,CIB,874,EXP,not_neg,not_int,not_lpsm,60.0
25153,l1,nopc,CRIF,647,CIB,not_neg,int_only,not_lpsm,41.0
25154,l1,nopc,CRIF,711,CIB,not_neg,not_int,not_lpsm,37.0
25155,l1,nopc,EQUI,625,EXP,not_neg,not_int,lpsm,
25156,l1,nopc,EQUI,768,EXP,neg_amm,not_int,not_lpsm,
25157,l1,nopc,CIB,626,CIB,not_neg,not_int,not_lpsm,45.0
25158,l1,nopc,CRIF,500,CIB,not_neg,not_int,not_lpsm,60.0
25159,l1,nopc,EQUI,700,EXP,not_neg,not_int,not_lpsm,
25160,l1,nopc,CIB,663,EXP,not_neg,int_only,not_lpsm,25.0
25161,l1,nopc,CRIF,538,EXP,not_neg,not_int,not_lpsm,33.0
25162,l1,nopc,CIB,695,CIB,not_neg,not_int,not_lpsm,54.0
25163,l1,nopc,EXP,517,CIB,not_neg,not_int,not_lpsm,42.0
25164,l1,nopc,EXP,815,CIB,not_neg,not_int,not_lpsm,38.0
25165,l1,nopc,CIB,759,EXP,not_neg,not_int,not_lpsm,23.0
25166,l1,nopc,CIB,792,CIB,neg_amm,not_int,not_lpsm,27.0
25167,l1,nopc,CIB,822,EXP,not_neg,not_int,not_lpsm,45.0
25168,l1,nopc,CIB,516,EXP,not_neg,not_int,not_lpsm,33.0
25169,l1,nopc,EXP,704,CIB,not_neg,not_int,not_lpsm,26.0
25170,l1,nopc,EXP,808,EXP,not_neg,not_int,not_lpsm,32.0
25171,l2,nopc,EQUI,534,EXP,neg_amm,int_only,not_lpsm,
25172,l1,nopc,CRIF,786,EXP,not_neg,not_int,not_lpsm,24.0
25173,l1,nopc,CIB,605,EXP,not_neg,not_int,not_lpsm,49.0
25174,l1,nopc,EXP,539,CIB,not_neg,not_int,not_lpsm,20.0
25175,l1,nopc,CRIF,522,CIB,not_neg,not_int,not_lpsm,44.0
25176,l1,nopc,CIB,812,CIB,not_neg,not_int,not_lpsm,31.0
25177,l1,nopc,EXP,860,CIB,neg_amm,not_int,not_lpsm,48.0
25178,l1,nopc,CRIF,876,CIB,not_neg,not_int,not_lpsm,43.0
25179,l1,nopc,CRIF,762,EXP,not_neg,not_int,not_lpsm,42.0
25180,l1,nopc,CIB,809,EXP,not_neg,not_int,not_lpsm,33.0
25181,l1,nopc,EXP,595,CIB,not_neg,not_int,not_lpsm,48.0
25182,l1,nopc,CRIF,598,EXP,not_neg,not_int,not_lpsm,41.0
25183,l1,nopc,EXP,763,CIB,not_neg,not_int,not_lpsm,27.0
25184,l1,nopc,CIB,515,CIB,not_neg,not_int,not_lpsm,44.0
25185,l1,nopc,EXP,508,EXP,not_neg,not_int,not_lpsm,24.0
25186,l1,nopc,CRIF,820,EXP,not_neg,not_int,not_lpsm,46.0
25187,l1,nopc,EQUI,529,EXP,not_neg,not_int,not_lpsm,
25188,l1,nopc,EXP,592,CIB,not_neg,not_int,not_lpsm,52.0
25189,l1,nopc,CIB,545,CIB,not_neg,not_int,not_lpsm,23.0
25190,l1,nopc,EQUI,830,EXP,not_neg,not_int,not_lpsm,
25191,l1,nopc,EQUI,710,EXP,not_neg,not_int,not_lpsm,
25192,l1,nopc,EQUI,551,EXP,not_neg,not_int,not_lpsm,
25193,l1,nopc,CIB,715,CIB,not_neg,not_int,not_lpsm,43.0
25194,l1,nopc,CRIF,802,CIB,not_neg,not_int,not_lpsm,46.0
25195,l1,nopc,CRIF,871,CIB,not_neg,not_int,not_lpsm,33.0
25196,l1,nopc,EXP,557,CIB,not_neg,not_int,not_lpsm,
25197,l1,nopc,CIB,879,EXP,not_neg,not_int,not_lpsm,45.0
25198,l1,nopc,CIB,743,CIB,not_neg,not_int,not_lpsm,53.0
25199,l2,nopc,EQUI,572,EXP,not_neg,not_int,not_lpsm,
25200,l1,nopc,EXP,699,EXP,not_neg,not_int,not_lpsm,43.0
25201,l1,nopc,EXP,538,CIB,not_neg,not_int,not_lpsm,36.0
25202,l1,nopc,CIB,617,CIB,not_neg,not_int,not_lpsm,36.0
25203,l1,nopc,CRIF,761,CIB,neg_amm,not_int,not_lpsm,13.0
25204,l1,nopc,CIB,711,EXP,not_neg,not_int,not_lpsm,41.0
25205,l1,nopc,EXP,640,CIB,not_neg,not_int,not_lpsm,44.0
25206,l1,nopc,CRIF,665,CIB,not_neg,not_int,not_lpsm,39.0
25207,l1,nopc,CIB,667,CIB,not_neg,not_int,not_lpsm,40.0
25208,l1,nopc,CIB,834,EXP,not_neg,not_int,not_lpsm,58.0
25209,l1,nopc,EXP,829,CIB,not_neg,not_int,not_lpsm,36.0
25210,l1,nopc,CIB,871,CIB,not_neg,not_int,not_lpsm,36.0
25211,l1,nopc,CRIF,661,EXP,neg_amm,not_int,not_lpsm,12.0
25212,l2,nopc,CIB,661,CIB,not_neg,not_int,not_lpsm,31.0
25213,l1,nopc,CRIF,664,EXP,not_neg,not_int,not_lpsm,43.0
25214,l1,nopc,EQUI,896,EXP,not_neg,not_int,not_lpsm,
25215,l1,nopc,EXP,856,EXP,not_neg,not_int,not_lpsm,28.0
25216,l1,nopc,CRIF,603,EXP,not_neg,not_int,not_lpsm,36.0
25217,l1,nopc,CRIF,627,CIB,neg_amm,not_int,not_lpsm,41.0
25218,l1,nopc,EQUI,715,EXP,not_neg,not_int,not_lpsm,
25219,l1,nopc,EXP,595,CIB,neg_amm,not_int,not_lpsm,31.0
25220,l1,nopc,EXP,861,EXP,not_neg,not_int,not_lpsm,39.0
25221,l2,nopc,EXP,851,CIB,not_neg,not_int,not_lpsm,22.0
25222,l1,nopc,CRIF,660,CIB,not_neg,not_int,not_lpsm,48.0
25223,l1,nopc,EXP,767,EXP,not_neg,not_int,not_lpsm,31.0
25224,l1,nopc,CRIF,656,CIB,not_neg,not_int,not_lpsm,
25225,l1,nopc,EXP,875,CIB,not_neg,not_int,not_lpsm,22.0
25226,l1,nopc,CIB,778,CIB,not_neg,not_int,not_lpsm,43.0
25227,l1,nopc,EXP,652,CIB,not_neg,not_int,not_lpsm,31.0
25228,l1,nopc,CIB,577,EXP,not_neg,not_int,not_lpsm,36.0
25229,l1,nopc,EXP,869,CIB,not_neg,not_int,not_lpsm,43.0
25230,l2,nopc,CRIF,758,CIB,not_neg,not_int,not_lpsm,57.0
25231,l1,nopc,EXP,701,CIB,not_neg,not_int,not_lpsm,24.0
25232,l1,nopc,CRIF,775,EXP,not_neg,not_int,not_lpsm,41.0
25233,l1,nopc,EXP,893,EXP,not_neg,not_int,not_lpsm,19.0
25234,l1,nopc,CIB,870,EXP,not_neg,not_int,not_lpsm,56.0
25235,l1,nopc,CIB,785,CIB,neg_amm,not_int,not_lpsm,40.0
