applicant_id,year,loan_limit,approv_in_adv,loan_type,loan_purpose,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,submission_of_application,region,application_status
24918,2019,cf,nopre,type1,p1,186500,4.25,1.0186,5376.25,360,to_inst,central,0
24919,2019,cf,nopre,type1,p1,436500,3.625,0.266,6260,360,not_inst,south,0
24920,2019,cf,nopre,type2,p1,246500,4.25,1.4614,0,360,not_inst,North,0
24921,2019,cf,nopre,type3,p4,216500,2.99,-0.6203,2101.63,360,to_inst,North,0
24922,2019,,nopre,type1,p1,306500,4.125,0.2848,3752.4,360,not_inst,North,0
24923,2019,cf,pre,type1,p1,316500,3.75,0.1681,5560.63,360,to_inst,North,0
24924,2019,cf,pre,type1,p1,506500,4.25,0.147,0,360,not_inst,North,0
24925,2019,cf,nopre,type1,p3,266500,4.99,1.3774,2337.4,360,not_inst,south,0
24926,2019,cf,nopre,type1,p1,406500,4,0.34,4070,360,not_inst,south,0
24927,2019,cf,nopre,type1,p4,656500,3.375,-0.1555,13016.46,360,not_inst,North,0
24928,2019,ncf,pre,type1,p4,256500,,,,180,to_inst,central,1
24929,2019,cf,nopre,type1,p4,396500,,,,360,not_inst,North,1
24930,2019,cf,nopre,type1,p3,396500,4.99,0.6835,5072.5,360,to_inst,south,0
24931,2019,cf,pre,type2,p3,166500,3.99,1.2351,1657.5,360,to_inst,central,0
24932,2019,cf,nopre,type3,p4,466500,,,,360,to_inst,North,1
24933,2019,cf,nopre,type2,p4,236500,,,,360,to_inst,central,1
24934,2019,ncf,nopre,type1,p4,866500,,,,360,not_inst,south,1
24935,2019,cf,nopre,type1,p4,416500,3.625,-0.1235,2462.96,360,not_inst,North,0
24936,2019,cf,nopre,type2,p3,436500,3.25,0.4238,12283.66,360,to_inst,south,0
24937,2019,ncf,nopre,type1,p3,356500,4.125,0.1691,786.33,360,not_inst,North,0
24938,2019,cf,nopre,type3,p4,386500,2.75,-0.7794,3808.56,360,not_inst,south,0
24939,2019,cf,nopre,type1,p1,596500,3.875,-0.0231,3375.48,360,not_inst,North,0
24940,2019,cf,nopre,type1,p3,196500,4.125,0.4465,3188.01,312,to_inst,south,0
24941,2019,cf,nopre,type1,p4,206500,2.99,0.245,5882.75,180,to_inst,North,0
24942,2019,cf,nopre,type3,p3,136500,,,,360,to_inst,North,1
24943,2019,ncf,nopre,type1,p3,166500,,,,360,to_inst,North,1
24944,2019,cf,nopre,type1,p1,606500,3.625,0.0945,14690.09,360,not_inst,central,0
24945,2019,cf,nopre,type2,p4,86500,,,,360,to_inst,south,1
24946,2019,ncf,nopre,type1,p2,116500,,,,180,not_inst,south,1
24947,2019,cf,pre,type1,p3,426500,3.5,0.5271,3854,180,not_inst,south,0
24948,2019,ncf,pre,type1,p3,166500,3.99,0.5893,4044.53,144,to_inst,North,0
24949,2019,cf,pre,type1,p3,426500,3.375,-0.0529,,180,to_inst,south,0
24950,2019,cf,nopre,type1,p4,376500,4.5,-0.088,0,360,not_inst,North,0
24951,2019,cf,nopre,type2,p1,286500,3.25,0.4639,0,360,not_inst,North,0
24952,2019,cf,nopre,type1,p4,706500,4.125,0.327,0,360,not_inst,south,0
24953,2019,cf,nopre,type2,p4,146500,4.75,1.5693,0,360,to_inst,south,0
24954,2019,cf,nopre,type1,p3,446500,3.875,0.6514,295,240,to_inst,North,0
24955,2019,cf,nopre,type1,p4,286500,3.875,0.2859,1250,360,to_inst,south,0
24956,2019,cf,nopre,type3,p3,166500,,,,360,not_inst,North,1
24957,2019,cf,nopre,type2,p4,636500,,,,360,to_inst,south,1
24958,2019,,nopre,type2,p3,226500,3.625,0.5626,,360,not_inst,North,0
24959,2019,cf,nopre,type1,p3,316500,4.5,0.4649,4771.25,360,to_inst,south,0
24960,2019,cf,nopre,type1,p3,156500,3.99,0.4597,3000,360,to_inst,south,0
24961,2019,cf,nopre,type1,p1,706500,4.875,0.6484,1645.03,360,not_inst,south,0
24962,2019,cf,nopre,type1,p3,196500,4.25,0.7872,5493.02,240,to_inst,North,0
24963,2019,cf,nopre,type3,p1,166500,4.5,0.7084,1680,360,to_inst,North,0
24964,2019,cf,nopre,type1,p4,486500,3.875,-0.1583,7305,360,not_inst,North,0
24965,2019,cf,nopre,type1,p1,406500,4.375,0.0301,0,360,not_inst,central,0
24966,2019,ncf,nopre,type1,p4,146500,,,,360,to_inst,south,1
24967,2019,cf,nopre,type1,p1,306500,4.875,0.9155,1330.09,360,not_inst,North,0
24968,2019,cf,nopre,type1,p4,266500,3.875,0.5347,6245,300,to_inst,North,0
24969,2019,cf,nopre,type1,p4,436500,3.5,0.5636,9323.75,240,to_inst,south,0
24970,2019,cf,nopre,type1,p4,446500,3.375,-0.1955,0,360,not_inst,North,0
24971,2019,cf,nopre,type2,p1,216500,3.5,0.8157,0,360,not_inst,central,0
24972,2019,cf,nopre,type1,p1,476500,3.99,0.2859,,360,to_inst,south,0
24973,2019,cf,nopre,type1,p4,466500,3.625,0.0903,1790.25,360,not_inst,North,0
24974,2019,cf,nopre,type1,p4,326500,,,,240,not_inst,south,1
24975,2019,cf,nopre,type2,p1,656500,,,,360,not_inst,North,1
24976,2019,cf,nopre,type1,p1,506500,,,,360,to_inst,south,1
24977,2019,cf,pre,type3,p4,246500,3.75,-0.1094,0,360,to_inst,south,0
24978,2019,cf,pre,type1,p3,186500,,,,360,to_inst,south,1
24979,2019,cf,nopre,type1,p3,56500,4.5,0.252,,360,to_inst,North,0
24980,2019,cf,nopre,type1,p4,486500,4.75,0.2531,4177.19,360,to_inst,south,0
24981,2019,cf,nopre,type1,p3,346500,3.99,-0.0249,6370,360,to_inst,North,0
24982,2019,cf,pre,type1,p3,136500,3.875,0.9787,2940.31,180,to_inst,North,0
24983,2019,cf,pre,type3,p1,586500,3.5,-0.2979,2800,360,to_inst,south,0
24984,2019,cf,nopre,type1,p4,336500,,,,360,to_inst,North,1
24985,2019,cf,nopre,type2,p3,76500,4.75,1.3051,1818.9,300,to_inst,North,0
24986,2019,ncf,pre,type3,p4,286500,,,,360,to_inst,south,1
24987,2019,,nopre,type1,p4,136500,3.625,0.544,3817.34,180,to_inst,south,0
24988,2019,ncf,pre,type1,p1,486500,3.99,-0.168,11957.75,360,to_inst,south,0
24989,2019,cf,nopre,type1,p1,416500,3.75,-0.4929,7265.8,360,not_inst,North,0
24990,2019,cf,nopre,type1,p1,186500,4.875,0.3555,4950,360,not_inst,North,0
24991,2019,cf,nopre,type1,p4,186500,,,,360,to_inst,North,1
24992,2019,cf,nopre,type2,p1,316500,3.375,0.7659,7628.9,360,not_inst,North,0
24993,2019,cf,nopre,type2,p4,346500,,,,360,to_inst,North,1
24994,2019,cf,nopre,type1,p4,326500,3.25,-0.1973,9271.25,348,to_inst,south,0
24995,2019,cf,nopre,type1,p3,256500,4.125,0.4474,0,180,to_inst,North,0
24996,2019,cf,nopre,type1,p1,226500,,,,360,to_inst,North,1
24997,2019,cf,nopre,type1,p1,226500,4.75,0.3399,1164.27,360,not_inst,North,0
24998,2019,ncf,pre,type1,p1,906500,4.375,-0.0131,1702.16,360,not_inst,south,0
24999,2019,cf,nopre,type1,p4,386500,3.5,0.1222,5634.69,360,to_inst,south,0
25000,2019,cf,nopre,type2,p1,496500,,,,360,not_inst,south,1
25001,2019,ncf,nopre,type1,p3,106500,,,,180,to_inst,south,1
25002,2019,cf,nopre,type1,p3,186500,3.99,0.5102,5937.5,360,to_inst,south,0
25003,2019,cf,nopre,type1,p4,246500,4.875,0.5887,7.9,360,to_inst,North,0
25004,2019,ncf,nopre,type1,p1,126500,,,,324,to_inst,south,1
25005,2019,cf,pre,type2,p1,226500,3.875,1.2341,2171.25,360,to_inst,south,0
25006,2019,cf,nopre,type3,p4,416500,2.99,-0.5876,0,360,to_inst,central,0
25007,2019,cf,nopre,type1,p4,146500,4.125,0.4603,1977.81,360,to_inst,North,0
25008,2019,cf,pre,type2,p4,216500,,,,360,to_inst,North,1
25009,2019,cf,nopre,type1,p4,396500,3.375,-0.2118,5955,360,not_inst,North,0
25010,2019,cf,nopre,type1,p1,246500,4.75,0.1691,1030.39,360,not_inst,North,0
25011,2019,cf,nopre,type3,p3,316500,4.25,0.0562,6034.95,360,to_inst,south,0
25012,2019,ncf,pre,type1,p1,296500,4.25,0.5813,8112.5,360,not_inst,North,0
25013,2019,cf,nopre,type3,p4,436500,3.99,-0.051,776.37,360,to_inst,North,0
25014,2019,cf,pre,type1,p3,226500,,,,360,to_inst,south,1
25015,2019,ncf,nopre,type3,p4,506500,3.125,-0.4337,5027.23,360,not_inst,central,0
25016,2019,cf,nopre,type1,p4,296500,3.625,-0.0589,90.03,360,not_inst,south,0
25017,2019,cf,nopre,type1,p4,386500,3.625,0.014,0,360,to_inst,south,0
25018,2019,cf,nopre,type1,p3,106500,4.5,1.2132,3041.75,120,to_inst,central,0
25019,2019,cf,nopre,type1,p4,706500,4,0.2072,0,360,not_inst,North,0
25020,2019,cf,nopre,type1,p3,176500,3.75,1.0893,4736,180,to_inst,North,0
25021,2019,cf,nopre,type1,p1,496500,5.19,1.0083,7608.1,360,not_inst,south,0
25022,2019,cf,nopre,type1,p3,606500,4.875,0.6654,0,360,not_inst,North,0
25023,2019,cf,nopre,type2,p1,126500,4.49,1.987,123.61,360,to_inst,North,0
25024,2019,cf,nopre,type2,p3,156500,3.375,1.4935,4653.09,180,to_inst,North,0
25025,2019,cf,nopre,type1,p4,196500,,,,360,to_inst,North,1
25026,2019,cf,nopre,type1,p3,256500,4.5,0.4361,295,360,to_inst,North,0
25027,2019,ncf,nopre,type1,p3,1376500,,,,360,not_inst,North,1
25028,2019,cf,nopre,type1,p4,376500,3.875,0.017,0,360,not_inst,south,0
25029,2019,cf,nopre,type1,p4,296500,4.375,0.4093,3709.03,360,to_inst,North,0
25030,2019,cf,nopre,type1,p4,566500,,,,360,not_inst,North,1
25031,2019,cf,pre,type1,p1,416500,3.875,-0.0958,7530.66,360,to_inst,south,0
25032,2019,cf,nopre,type1,p4,476500,4.125,-0.113,0,360,not_inst,North,0
25033,2019,cf,nopre,type3,p4,686500,,,,360,to_inst,south,1
25034,2019,cf,nopre,type1,p3,556500,,,,240,not_inst,south,1
25035,2019,cf,nopre,type1,p3,266500,4.875,0.479,0,360,to_inst,North,0
25036,2019,cf,nopre,type1,p1,406500,3.75,0.3313,9618.75,360,not_inst,North,0
25037,2019,cf,nopre,type3,p4,256500,2.875,-0.6287,2476.72,360,not_inst,North,0
25038,2019,cf,nopre,type3,p1,236500,5.125,0.6871,0,360,not_inst,central,0
25039,2019,cf,nopre,type2,p3,656500,,,,360,to_inst,North,1
25040,2019,cf,nopre,type1,p3,156500,4.625,1.0547,4115,360,to_inst,south,0
25041,2019,ncf,pre,type1,p1,406500,4,-0.043,6500,360,not_inst,North,0
25042,2019,cf,nopre,type1,p3,476500,4.875,1.3139,5284.38,360,to_inst,south,0
25043,2019,cf,nopre,type1,p4,676500,3.99,-0.297,995,360,not_inst,south,0
25044,2019,cf,nopre,type2,p4,206500,3.375,0.3492,0,360,to_inst,North,0
25045,2019,,nopre,type2,p3,126500,3.99,1.8342,,240,to_inst,North,0
25046,2019,cf,nopre,type1,p3,366500,4.56,0.5541,5060,360,to_inst,North,0
25047,2019,cf,nopre,type1,p4,156500,,,,180,to_inst,North,1
25048,2019,cf,nopre,type1,p3,276500,3.99,0.3337,3149.5,360,not_inst,North,0
25049,2019,cf,nopre,type2,p1,636500,,,,360,not_inst,North,1
25050,2019,cf,nopre,type1,p3,486500,3.625,0.0403,0,360,not_inst,south,0
25051,2019,cf,nopre,type3,p4,266500,3.125,-0.6033,1560.45,360,to_inst,North,0
25052,2019,cf,nopre,type1,p3,356500,3.625,-0.1012,2421,360,not_inst,North,0
25053,2019,cf,nopre,type1,p4,396500,3.625,0.0897,4663.95,360,not_inst,North,0
25054,2019,cf,nopre,type1,p4,486500,3.375,-0.1318,169.53,360,not_inst,south,0
25055,2019,cf,nopre,type1,p4,716500,3.99,0.4348,14702,360,not_inst,south,0
25056,2019,cf,nopre,type1,p3,596500,4.125,0.724,,360,not_inst,central,0
25057,2019,cf,nopre,type1,p1,636500,4.125,0.048,3520.2,360,not_inst,North,0
25058,2019,cf,nopre,type2,p4,116500,,,,360,to_inst,south,1
25059,2019,cf,nopre,type1,p1,376500,3.75,0.4232,6536.25,360,to_inst,North,0
25060,2019,cf,nopre,type1,p3,356500,4.375,0.7168,3368.75,240,to_inst,North,0
25061,2019,cf,pre,type2,p4,86500,,,,360,to_inst,central,1
25062,2019,cf,nopre,type1,p4,226500,3.5,0.0677,6549.46,324,to_inst,south,0
25063,2019,cf,nopre,type2,p2,66500,4.125,1.1254,1772.02,360,to_inst,central,0
25064,2019,cf,nopre,type1,p1,556500,4.5,0.6439,935,360,not_inst,south,0
25065,2019,cf,nopre,type2,p4,376500,,,,360,to_inst,south,1
25066,2019,cf,nopre,type2,p1,106500,,,,360,to_inst,south,1
25067,2019,cf,nopre,type1,p4,316500,4.5,0.012,0,360,not_inst,North,0
25068,2019,cf,pre,type2,p3,116500,3.625,0.8732,3718.63,360,to_inst,south,0
25069,2019,cf,pre,type1,p2,86500,3.7,-0.0746,415,360,to_inst,North,0
25070,2019,cf,nopre,type3,p1,326500,4.25,0.2517,0,360,not_inst,south,0
25071,2019,cf,nopre,type1,p4,176500,4.5,0.9662,2665.52,360,not_inst,North,0
25072,2019,,nopre,type2,p1,156500,,,,360,to_inst,south,1
25073,2019,cf,nopre,type2,p3,346500,3.99,1.1306,6935.77,360,to_inst,south,0
25074,2019,cf,nopre,type1,p4,616500,2.99,-0.2418,1958.1,180,not_inst,south,0
25075,2019,cf,pre,type1,p1,456500,,,,180,to_inst,south,1
25076,2019,cf,nopre,type2,p3,96500,4.625,0.8361,2054.53,360,to_inst,North,0
25077,2019,cf,nopre,type1,p4,256500,3.75,0.144,5220.49,360,to_inst,North,0
25078,2019,cf,pre,type2,p1,146500,4.125,1.7615,2920.33,360,to_inst,North,0
25079,2019,cf,nopre,type1,p3,316500,4.5,0.1427,7035.03,360,to_inst,south,0
25080,2019,,nopre,type2,p1,76500,,,,360,to_inst,North,1
25081,2019,ncf,nopre,type3,p4,406500,3.75,0.0028,0,360,to_inst,south,0
25082,2019,cf,nopre,type1,p1,116500,,,,360,to_inst,North,1
25083,2019,cf,nopre,type1,p1,136500,,,,180,to_inst,south,1
25084,2019,cf,nopre,type1,p2,206500,,,,360,to_inst,south,1
25085,2019,cf,nopre,type2,p3,306500,,,,360,to_inst,North,1
25086,2019,cf,nopre,type1,p2,166500,4.25,0.6468,2650,360,to_inst,south,0
25087,2019,cf,,type2,p4,216500,3.75,1.0432,0,360,to_inst,south,0
25088,2019,cf,nopre,type1,p1,306500,4.56,0.2789,0,360,not_inst,North,0
25089,2019,ncf,nopre,type1,p4,826500,4.25,-0.0492,485.55,360,to_inst,North,0
25090,2019,cf,pre,type1,p1,136500,3.5,0.3056,2882.81,360,to_inst,North,0
25091,2019,cf,nopre,type1,p4,346500,4.875,0.575,3334.84,360,to_inst,south,0
25092,2019,cf,nopre,type1,p4,386500,3.625,-0.1928,0,180,not_inst,North,0
25093,2019,cf,nopre,type1,p4,706500,,,,180,not_inst,North,1
25094,2019,ncf,pre,type1,p3,276500,3.875,0.2794,8010,360,to_inst,south,0
25095,2019,cf,nopre,type2,p2,26500,4.75,1.3925,662.44,360,to_inst,south,0
25096,2019,cf,nopre,type3,p4,276500,2.75,-0.8623,8079.2,360,to_inst,North,0
25097,2019,cf,nopre,type1,p3,186500,4.99,0.6403,1150,360,to_inst,North,0
25098,2019,cf,nopre,type1,p4,366500,,,,360,to_inst,North,1
25099,2019,cf,nopre,type1,p4,666500,4.375,0.1084,1063.16,360,not_inst,North,0
25100,2019,cf,pre,type1,p1,226500,4.75,0.0368,2280,360,to_inst,central,0
25101,2019,cf,nopre,type1,p4,106500,,,,240,to_inst,central,1
25102,2019,cf,nopre,type2,p4,426500,3.375,0.5422,0,360,not_inst,North,0
25103,2019,cf,pre,type1,p4,216500,4.25,-0.0666,0,360,not_inst,North,0
25104,2019,cf,nopre,type3,p1,146500,3.625,0.5321,1109.31,360,not_inst,North,0
25105,2019,cf,nopre,type1,p4,676500,3.625,-0.0633,0,360,not_inst,North,0
25106,2019,cf,nopre,type2,p3,316500,,,,300,to_inst,North,1
25107,2019,cf,nopre,type1,p3,76500,4.75,1.3172,2650,180,to_inst,North,0
25108,2019,cf,nopre,type1,p3,446500,4.875,1.1415,,180,to_inst,south,0
25109,2019,cf,pre,type1,p2,256500,4.875,1.0371,0,180,not_inst,south,0
25110,2019,cf,nopre,type3,p3,406500,,,,360,not_inst,North,1
25111,2019,cf,pre,type1,p4,196500,,,,360,to_inst,North,1
25112,2019,cf,nopre,type1,p3,266500,,,,360,to_inst,south,1
25113,2019,cf,nopre,type1,p4,196500,3.875,0.5523,3620,360,to_inst,south,0
25114,2019,cf,nopre,type1,p4,56500,,,,180,to_inst,south,1
25115,2019,cf,pre,type1,p3,546500,,,,360,not_inst,south,1
25116,2019,cf,nopre,type1,p4,336500,3.25,-0.2676,10510.76,324,to_inst,south,0
25117,2019,ncf,nopre,type1,p3,986500,4.375,0.8453,19700,360,to_inst,south,0
25118,2019,cf,nopre,type2,p1,566500,3.375,0.5851,0,360,not_inst,North,0
25119,2019,cf,nopre,type1,p4,526500,3.75,0.042,0,360,not_inst,south,0
25120,2019,cf,nopre,type1,p3,476500,,,,360,not_inst,North,1
25121,2019,cf,nopre,type2,p3,186500,3.5,0.5933,3454.55,360,to_inst,south,0
25122,2019,cf,nopre,type1,p3,316500,4.75,0.5864,5301.38,360,to_inst,south,0
25123,2019,cf,nopre,type1,p3,276500,4.125,0.616,6656,360,to_inst,North,0
25124,2019,cf,nopre,type2,p4,606500,3.625,0.9243,0,360,not_inst,central,0
25125,2019,cf,nopre,type1,p3,476500,3.99,0.4919,7618.75,360,to_inst,North,0
25126,2019,cf,nopre,type1,p4,526500,4.375,0.0742,0,360,not_inst,North,0
25127,2019,ncf,nopre,type1,p4,566500,3.625,-0.2959,0,360,to_inst,North,0
25128,2019,,nopre,type1,p3,236500,4.5,0.7409,1752.4,360,not_inst,North,0
25129,2019,cf,nopre,type1,p3,256500,4.875,0.6868,3698,360,to_inst,North,0
25130,2019,cf,nopre,type1,p1,586500,,,,360,not_inst,North,1
25131,2019,cf,nopre,type1,p3,316500,,,,360,to_inst,North,1
25132,2019,cf,pre,type1,p1,156500,4.5,0.4876,2812.5,360,to_inst,North,0
25133,2019,cf,nopre,type1,p4,436500,3.99,0.5022,0,360,not_inst,North,0
25134,2019,cf,nopre,type1,p3,486500,3.99,0.2872,4275,360,to_inst,south,0
25135,2019,cf,nopre,type1,p3,356500,,,,360,not_inst,North,1
25136,2019,cf,nopre,type1,p4,266500,,,,360,to_inst,south,1
25137,2019,cf,nopre,type1,p3,186500,4.25,-0.0995,1552.63,360,to_inst,North,0
25138,2019,cf,pre,type1,p3,126500,4.875,1.2777,1928.39,240,to_inst,North,0
25139,2019,cf,nopre,type1,p3,276500,,,,360,to_inst,south,1
25140,2019,cf,pre,type1,p1,106500,4.25,0.7565,2980.63,360,to_inst,North,0
25141,2019,cf,nopre,type1,p4,386500,3.99,0.4371,5129,360,to_inst,North,0
25142,2019,cf,nopre,type1,p3,376500,4.75,0.362,0,360,not_inst,North,0
25143,2019,cf,nopre,type1,p3,206500,3.875,0.6165,5344.5,360,to_inst,North,0
25144,2019,cf,pre,type1,p4,286500,,,,360,not_inst,south,1
25145,2019,cf,nopre,type1,p2,486500,3.625,-0.1498,906.97,360,not_inst,North,0
25146,2019,cf,pre,type1,p4,406500,4.375,-0.0155,,360,not_inst,south,0
25147,2019,cf,nopre,type1,p1,146500,,,,180,to_inst,North,1
25148,2019,cf,pre,type2,p3,156500,3.75,0.9347,2607.66,360,to_inst,south,0
25149,2019,cf,nopre,type1,p4,476500,4.75,0.4465,0,360,not_inst,North,0
25150,2019,cf,nopre,type1,p4,86500,,,,360,to_inst,North,1
25151,2019,cf,nopre,type1,p3,246500,4.625,0.5163,7064.56,360,to_inst,North,0
25152,2019,cf,nopre,type3,p3,596500,3.625,-0.1969,2572.4,360,not_inst,North,0
25153,2019,cf,nopre,type1,p4,556500,3.99,0.4568,12800,360,to_inst,North,0
25154,2019,cf,pre,type1,p1,1226500,4.99,1.3059,12500,360,not_inst,south,0
25155,2019,cf,nopre,type1,p1,266500,,,,360,not_inst,North,1
25156,2019,ncf,nopre,type2,p1,196500,3.75,,0,324,,south,1
25157,2019,cf,pre,type1,p3,416500,3.625,-0.202,916,360,not_inst,North,0
25158,2019,ncf,nopre,type1,p3,206500,,,,360,to_inst,North,1
25159,2019,cf,nopre,type1,p3,106500,,,,360,to_inst,south,1
25160,2019,cf,nopre,type1,p3,386500,3.625,-0.0141,154.68,360,not_inst,North,0
25161,2019,,nopre,type1,p1,246500,4.125,0.0514,1305.85,360,not_inst,south,0
25162,2019,cf,pre,type2,p3,266500,3.99,0.8946,0,360,not_inst,North,0
25163,2019,cf,pre,type1,p1,336500,3.875,0.5642,590.73,360,not_inst,North,0
25164,2019,cf,pre,type2,p3,126500,,,,360,to_inst,North,1
25165,2019,cf,pre,type1,p1,206500,3.99,0.3064,1150,360,to_inst,south,0
25166,2019,cf,nopre,type1,p1,66500,,,,360,to_inst,south,1
25167,2019,cf,nopre,type1,p3,476500,,,,360,to_inst,south,1
25168,2019,cf,nopre,type1,p4,376500,4.375,-0.0845,7866.73,360,not_inst,North,0
25169,2019,cf,pre,type1,p1,256500,3.875,0.4985,4486.63,360,to_inst,North,0
25170,2019,cf,nopre,type1,p4,316500,3.875,0.7279,810.9,240,not_inst,North,0
25171,2019,cf,nopre,type1,p1,426500,,,,300,to_inst,south,1
25172,2019,cf,nopre,type1,p4,216500,3.875,0.3584,3432.4,360,to_inst,North,0
25173,2019,cf,nopre,type1,p4,436500,3.5,-0.3261,9465.73,360,not_inst,south,0
25174,2019,cf,nopre,type1,p3,126500,4.99,0.5716,1150,360,to_inst,south,0
25175,2019,,nopre,type1,p4,96500,3.99,1.3777,3518.7,96,to_inst,south,0
25176,2019,cf,nopre,type1,p2,406500,3.99,0.342,0,360,not_inst,south,0
25177,2019,cf,nopre,type1,p1,336500,,,,360,to_inst,North,1
25178,2019,cf,nopre,type1,p4,426500,3.5,0.005,10625,360,not_inst,North,0
25179,2019,cf,nopre,type1,p3,416500,3.875,0.812,1830,240,to_inst,North,0
25180,2019,ncf,nopre,type2,p3,186500,4.75,1.3638,0,360,to_inst,North,0
25181,2019,cf,pre,type1,p3,606500,4.5,0.1971,1900,360,to_inst,North,0
25182,2019,cf,nopre,type1,p4,446500,4,-0.0042,0,360,not_inst,North,0
25183,2019,cf,pre,type1,p4,156500,,,,360,to_inst,south,1
25184,2019,cf,pre,type1,p1,256500,3.5,-0.0225,961.32,360,not_inst,south,0
25185,2019,cf,nopre,type1,p4,336500,3.25,0.0885,1036.21,180,not_inst,North,0
25186,2019,cf,nopre,type1,p3,406500,4.75,1.034,2752.55,360,to_inst,south,0
25187,2019,cf,nopre,type3,p1,266500,,,,360,not_inst,North,1
25188,2019,cf,nopre,type3,p1,266500,4.375,0.1812,209.91,360,not_inst,North,0
25189,2019,cf,nopre,type1,p3,156500,3.875,0.9983,,240,to_inst,south,0
25190,2019,cf,nopre,type1,p4,186500,,,,360,to_inst,North,1
25191,2019,cf,nopre,type2,p4,636500,,,,360,not_inst,North,1
25192,2019,cf,nopre,type1,p4,286500,,,,360,to_inst,south,1
25193,2019,cf,nopre,type1,p1,266500,3.99,0.4438,2187.35,360,not_inst,south,0
25194,2019,cf,pre,type1,p3,266500,3.625,0.0707,6261.1,360,not_inst,North,0
25195,2019,cf,nopre,type1,p4,226500,3.5,0.0361,6172.13,300,to_inst,south,0
25196,2019,cf,nopre,type3,p4,146500,2.75,-0.689,3230.05,360,to_inst,central,0
25197,2019,cf,,type2,p1,166500,5.25,1.8641,0,360,to_inst,south,0
25198,2019,cf,nopre,type3,p1,76500,4.125,0.357,797.77,360,to_inst,south,0
25199,2019,cf,nopre,type1,p1,336500,,,,360,to_inst,south,1
25200,2019,cf,nopre,type2,p3,266500,3.99,1.1269,3952.93,360,to_inst,south,0
25201,2019,cf,nopre,type2,p3,186500,4.49,1.4342,625.63,360,to_inst,North,0
25202,2019,cf,nopre,type3,p1,506500,3.49,-0.0661,1481.59,360,not_inst,south,0
25203,2019,cf,nopre,type1,p3,286500,,,,360,to_inst,south,1
25204,2019,cf,pre,type1,p1,566500,5,0.6536,0,360,not_inst,North,0
25205,2019,cf,nopre,type1,p4,366500,3.99,0.2433,1250,360,to_inst,south,0
25206,2019,cf,nopre,type1,p4,426500,3.5,-0.2432,1250,360,to_inst,North,0
25207,2019,cf,pre,type1,p3,296500,4,0.2527,4441,360,not_inst,North,0
25208,2019,cf,nopre,type3,p3,676500,3.49,-0.4881,3044.07,360,not_inst,North,0
25209,2019,cf,nopre,type1,p4,526500,3.5,-0.1482,4497.05,360,not_inst,central,0
25210,2019,cf,nopre,type1,p3,256500,4.5,1.0231,4750,360,not_inst,North,0
25211,2019,ncf,nopre,type1,p1,266500,4.25,-0.0124,5166.3,324,to_inst,North,0
25212,2019,cf,nopre,type1,p3,216500,4.99,0.6818,1150,360,to_inst,North,0
25213,2019,cf,nopre,type1,p3,156500,4.625,1.0065,642.31,360,not_inst,North,0
25214,2019,cf,nopre,type1,p4,726500,,,,360,not_inst,south,1
